cpt_code,cpt_description
20200,"Biopsy, muscle; superficial"
20205,"Biopsy, muscle; deep"
20206,"Biopsy, muscle, percutaneous needle"
20220,"Biopsy, bone, trocar, or needle; superficial (eg, ilium, sternum, spinous process, ribs)"
20225,"Biopsy, bone, trocar, or needle; deep (eg, vertebral body, femur)"
20245,"Biopsy, bone, open; deep (eg, humeral shaft, ischium, femoral shaft)"
20250,"Biopsy, vertebral body, open; thoracic"
20251,"Biopsy, vertebral body, open; lumbar or cervical"
20660,"Application of cranial tongs, caliper, or stereotactic frame, including removal (separate procedure)"
20661,"Application of halo, including removal; cranial"
20663,"Application of halo, including removal; femoral"
20664,"Application of halo, including removal, cranial, 6 or more pins placed, for thin skull osteology (eg, pediatric patients, hydrocephalus, osteogenesis imperfecta)"
20665,Removal of tongs or halo applied by another individual
20930,"Allograft, morselized, or placement of osteopromotive material, for spine surgery only (List separately in addition to code for primary procedure)"
20931,"Allograft, structural, for spine surgery only (List separately in addition to code for primary procedure)"
20936,"Autograft for spine surgery only (includes harvesting the graft); local (eg, ribs, spinous process, or laminar fragments) obtained from same incision (List separately in addition to code for primary procedure)"
20937,Autograft for spine surgery only (includes harvesting the graft); morselized (through separate skin or fascial incision) (List separately in addition to code for primary procedure)
20938,"Autograft for spine surgery only (includes harvesting the graft); structural, bicortical or tricortical (through separate skin or fascial incision) (List separately in addition to code for primary procedure)"
20939,"Bone marrow aspiration for bone grafting, spine surgery only, through separate skin or fascial incision (List separately in addition to code for primary procedure)"
20955,Bone graft with microvascular anastomosis; fibula
20956,Bone graft with microvascular anastomosis; iliac crest
20957,Bone graft with microvascular anastomosis; metatarsal
20962,"Bone graft with microvascular anastomosis; other than fibula, iliac crest, or metatarsal"
20969,"Free osteocutaneous flap with microvascular anastomosis; other than iliac crest, metatarsal, or great toe"
20970,Free osteocutaneous flap with microvascular anastomosis; iliac crest
20973,Free osteocutaneous flap with microvascular anastomosis; great toe with web space
21100,"Application of halo type appliance for maxillofacial fixation, includes removal (separate procedure)"
21899,"Unlisted procedure, neck or thorax"
21920,"Biopsy, soft tissue of back or flank; superficial"
21925,"Biopsy, soft tissue of back or flank; deep"
21930,"Excision, tumor, soft tissue of back or flank, subcutaneous; less than 3 cm"
21931,"Excision, tumor, soft tissue of back or flank, subcutaneous; 3 cm or greater"
21932,"Excision, tumor, soft tissue of back or flank, subfascial (eg, intramuscular); less than 5 cm"
21933,"Excision, tumor, soft tissue of back or flank, subfascial (eg, intramuscular); 5 cm or greater"
21935,"Radical resection of tumor (eg, sarcoma), soft tissue of back or flank; less than 5 cm"
21936,"Radical resection of tumor (eg, sarcoma), soft tissue of back or flank; 5 cm or greater"
22010,"Incision and drainage, open, of deep abscess (subfascial), posterior spine; cervical, thoracic, or cervicothoracic"
22015,"Incision and drainage, open, of deep abscess (subfascial), posterior spine; lumbar, sacral, or lumbosacral"
22100,"Partial excision of posterior vertebral component (eg, spinous process, lamina or facet) for intrinsic bony lesion, single vertebral segment; cervical"
22101,"Partial excision of posterior vertebral component (eg, spinous process, lamina or facet) for intrinsic bony lesion, single vertebral segment; thoracic"
22102,"Partial excision of posterior vertebral component (eg, spinous process, lamina or facet) for intrinsic bony lesion, single vertebral segment; lumbar"
22103,"Partial excision of posterior vertebral component (eg, spinous process, lamina or facet) for intrinsic bony lesion, single vertebral segment; each additional segment (List separately in addition to code for primary procedure)"
22110,"Partial excision of vertebral body, for intrinsic bony lesion, without decompression of spinal cord or nerve root(s), single vertebral segment; cervical"
22112,"Partial excision of vertebral body, for intrinsic bony lesion, without decompression of spinal cord or nerve root(s), single vertebral segment; thoracic"
22114,"Partial excision of vertebral body, for intrinsic bony lesion, without decompression of spinal cord or nerve root(s), single vertebral segment; lumbar"
22116,"Partial excision of vertebral body, for intrinsic bony lesion, without decompression of spinal cord or nerve root(s), single vertebral segment; each additional vertebral segment (List separately in addition to code for primary procedure)"
22150,[EXPIRED]-Reconstruction of spine with prefabricated prosthetic replacement following rese
22206,"Osteotomy of spine, posterior or posterolateral approach, 3 columns, 1 vertebral segment (eg, pedicle/vertebral body subtraction); thoracic"
22207,"Osteotomy of spine, posterior or posterolateral approach, 3 columns, 1 vertebral segment (eg, pedicle/vertebral body subtraction); lumbar"
22208,"Osteotomy of spine, posterior or posterolateral approach, 3 columns, 1 vertebral segment (eg, pedicle/vertebral body subtraction); each additional vertebral segment (List separately in addition to code for primary procedure)"
22210,"Osteotomy of spine, posterior or posterolateral approach, 1 vertebral segment; cervical"
22212,"Osteotomy of spine, posterior or posterolateral approach, 1 vertebral segment; thoracic"
22214,"Osteotomy of spine, posterior or posterolateral approach, 1 vertebral segment; lumbar"
22216,"Osteotomy of spine, posterior or posterolateral approach, 1 vertebral segment; each additional vertebral segment (List separately in addition to primary procedure)"
22220,"Osteotomy of spine, including discectomy, anterior approach, single vertebral segment; cervical"
22222,"Osteotomy of spine, including discectomy, anterior approach, single vertebral segment; thoracic"
22224,"Osteotomy of spine, including discectomy, anterior approach, single vertebral segment; lumbar"
22226,"Osteotomy of spine, including discectomy, anterior approach, single vertebral segment; each additional vertebral segment (List separately in addition to code for primary procedure)"
22305,Closed treatment of vertebral process fracture(s)
22310,"Closed treatment of vertebral body fracture(s), without manipulation, requiring and including casting or bracing"
22315,"Closed treatment of vertebral fracture(s) and/or dislocation(s) requiring casting or bracing, with and including casting and/or bracing by manipulation or traction"
22318,"Open treatment and/or reduction of odontoid fracture(s) and or dislocation(s) (including os odontoideum), anterior approach, including placement of internal fixation; without grafting"
22325,"Open treatment and/or reduction of vertebral fracture(s) and/or dislocation(s), posterior approach, 1 fractured vertebra or dislocated segment; lumbar"
22326,"Open treatment and/or reduction of vertebral fracture(s) and/or dislocation(s), posterior approach, 1 fractured vertebra or dislocated segment; cervical"
22327,"Open treatment and/or reduction of vertebral fracture(s) and/or dislocation(s), posterior approach, 1 fractured vertebra or dislocated segment; thoracic"
22328,"Open treatment and/or reduction of vertebral fracture(s) and/or dislocation(s), posterior approach, 1 fractured vertebra or dislocated segment; each additional fractured vertebra or dislocated segment (List separately in addition to code for primary proce"
22505,"Manipulation of spine requiring anesthesia, any region"
22510,"Percutaneous vertebroplasty (bone biopsy included when performed), 1 vertebral body, unilateral or bilateral injection, inclusive of all imaging guidance; cervicothoracic"
22511,"Percutaneous vertebroplasty (bone biopsy included when performed), 1 vertebral body, unilateral or bilateral injection, inclusive of all imaging guidance; lumbosacral"
22512,"Percutaneous vertebroplasty (bone biopsy included when performed), 1 vertebral body, unilateral or bilateral injection, inclusive of all imaging guidance; each additional cervicothoracic or lumbosacral vertebral body (List separately in addition to code f"
22513,"Percutaneous vertebral augmentation, including cavity creation (fracture reduction and bone biopsy included when performed) using mechanical device (eg, kyphoplasty), 1 vertebral body, unilateral or bilateral cannulation, inclusive of all imaging guidance"
22514,"Percutaneous vertebral augmentation, including cavity creation (fracture reduction and bone biopsy included when performed) using mechanical device (eg, kyphoplasty), 1 vertebral body, unilateral or bilateral cannulation, inclusive of all imaging guidance"
22515,"Percutaneous vertebral augmentation, including cavity creation (fracture reduction and bone biopsy included when performed) using mechanical device (eg, kyphoplasty), 1 vertebral body, unilateral or bilateral cannulation, inclusive of all imaging guidance"
22520,"Percutaneous vertebroplasty (bone biopsy included when performed), 1 vertebral body, unilateral or bilateral injection; thoracic"
