cpt_code,addition_code,primary_1,primary_2,primary_3
22103,22103,22100,22101,22102
22116,22116,22110,22112,22114
22208,22208,22206,22207,
22216,22216,22210,22212,22214
22226,22226,22220,22222,22224
22328,22328,22325-22327,,
22512,22512,22510,22511,
22515,22515,22513,22514,
22527,22527,22526,,
22534,22534,22532 and 22533,,
22552,22552,22551,,
22585,22585,22554,22556,22558
22634,22634,22633,,
22840,22840,22100-22102,22110-22114,22206
22841,22841,22100-22102,22110-22114,22206
22842,22842,22100-22102,22110-22114,22206
22843,22843,22100-22102,22110-22114,22206
22844,22844,22100-22102,22110-22114,22206
22845,22845,22100-22102,22110-22114,22206
22846,22846,22100-22102,22110-22114,22206
22847,22847,22100-22102,22110-22114,22206
22848,22848,22100-22102,22110-22114,22206
22858,22858,22856,,
22868,22868,22867,,
22870,22870,22869,,
63035,63035,63020-63030,,
63043,63043,63040,,
63044,63044,63042,,
63048,63048,63045-63047,,
63057,63057,63055,63056,
63066,63066,63064,,
63076,63076,63075,,
63078,63078,63077,,
63082,63082,63081,,
63086,63086,63085,,
63088,63088,63087,,
63091,63091,63090,,
63103,63103,63101 and 63102,,
63295,63295,63172,63173,63185
63308,63308,63300-63307,,
