cpt_code,section,spine_region,procedure,work_rvus
21920,Back and Flank Excision,unspecified,"biopsy, soft tissue of back or flank; superficial",2.11
21925,Back and Flank Excision,unspecified,"biopsy, soft tissue of back or flank; deep",4.63
21930,Back and Flank Excision,unspecified,"excision, tumor, soft tissue of back or flank, subcutaneous; less than 3 cm",4.94
21931,Back and Flank Excision,unspecified,"excision, tumor, soft tissue of back or flank, subcutaneous; 3 cm or greater",6.88
21932,Back and Flank Excision,unspecified,"excision, tumor, soft tissue of back or flank, subfascial (eg, intramuscular); less than 5 cm",9.82
21933,Back and Flank Excision,unspecified,"excision, tumor, soft tissue of back or flank, subfascial (eg, intramuscular); 5 cm or greater",11.13
21935,Back and Flank Excision,unspecified,"radical resection of tumor (eg, sarcoma), soft tissue of back or flank; less than 5 cm",15.72
21936,Back and Flank Excision,unspecified,"radical resection of tumor (eg, sarcoma), soft tissue of back or flank; 5 cm or greatergreater",22.55
22010,Spine Incision,Cervical,"incision and drainage, open, of deep abscess (subfascial), posterior spine; cervical, thoracic, or cervicothoracic",12.75
22015,Spine Incision,Lumbar,"incision and drainage, open, of deep abscess (subfascial), posterior spine; lumbar, sacral, or lumbosacral",12.64
22100,Spine Excision,Cervical,"partial excision of posterior vertebral component (eg, spinous process, lamina or facet) for intrinsic bony lesion, single vertebral segment; cervical",11
22101,Spine Excision,Thoracic,"partial excision of posterior vertebral component (eg, spinous process, lamina or facet) for intrinsic bony lesion, single vertebral segment; thoracic",11.08
22102,Spine Excision,Lumbar,"partial excision of posterior vertebral component (eg, spinous process, lamina or facet) for intrinsic bony lesion, single vertebral segment; lumbar",11.08
22110,Spine Excision,Cervical,"partial excision of vertebral body, for intrinsic bony lesion, without decompression of spinal cord or nerve root(s), single vertebral segment; cervical",14
22112,Spine Excision,Thoracic,"partial excision of vertebral body, for intrinsic bony lesion, without decompression of spinal cord or nerve root(s), single vertebral segment; thoracic",14.07
22114,Spine Excision,Lumbar,"partial excision of vertebral body, for intrinsic bony lesion, without decompression of spinal cord or nerve root(s), single vertebral segment; lumbar",14.07
22206,Osteotomy,Thoracic,"osteotomy of spine, posterior or posterolateral approach, 3 columns, 1 vertebral segment (eg, pedicle/vertebral body subtraction); thoracic",37.18
22207,Osteotomy,Lumbar,"osteotomy of spine, posterior or posterolateral approach, 3 columns, 1 vertebral segment (eg, pedicle/vertebral body subtraction); lumbar",36.68
22210,Osteotomy,Cervical,"osteotomy of spine, posterior or posterolateral approach, 1 vertebral segment; cervical",25.38
22212,Osteotomy,Thoracic,"osteotomy of spine, posterior or posterolateral approach, 1 vertebral segment; thoracic",20.99
22214,Osteotomy,Lumbar,"osteotomy of spine, posterior or posterolateral approach, 1 vertebral segment; lumbar",21.02
22220,Osteotomy,Cervical,"osteotomy of spine, including discectomy, anterior approach, single vertebral segment; cervical",22.94
22222,Osteotomy,Thoracic,"osteotomy of spine, including discectomy, anterior approach, single vertebral segment; thoracic",23.09
22224,Osteotomy,Lumbar,"osteotomy of spine, including discectomy, anterior approach, single vertebral segment; lumbar",23.09
22310,Fracture and/or Dislocation,unspecified,"closed treatment of vertebral body fracture(s), without manipulation, requiring and including casting or bracing",3.45
22315,Fracture and/or Dislocation,unspecified,"closed treatment of vertebral fracture(s) and/ or dislocation(s) requiring casting or bracing, with and including casting and/or bracing by manipulation or traction",10.11
22318,Fracture and/or Dislocation,Odontoid,"open treatment and/or reduction of odontoid fracture(s) and or dislocation(s) (including os odontoideum), anterior approach, including placement of internal fixation; without grafting",22.72
22319,Fracture and/or Dislocation,Odontoid,"open treatment and/or reduction of odontoid fracture(s) and or dislocation(s) (including os odontoideum), anterior approach, including placement of internal fixation; with grafting",25.33
22325,Fracture and/or Dislocation,Lumbar,"open treatment and/or reduction of vertebral fracture(s) and/or dislocation(s), posterior approach, 1 fractured vertebra or dislocated segment; lumbar",19.87
22326,Fracture and/or Dislocation,Cervical,"open treatment and/or reduction of vertebral fracture(s) and/or dislocation(s), posterior approach, 1 fractured vertebra or dislocated segment; cervical",20.84
22327,Fracture and/or Dislocation,Thoracic,"open treatment and/or reduction of vertebral fracture(s) and/or dislocation(s), posterior approach, 1 fractured vertebra or dislocated segment; thoracic",20.77
22505,Manipulation,unspecified,"manipulation of spine requiring anesthesia, any region",1.87
22510,Percutaneous Vertebroplasty and Vertebral Augmentation,Thoracic,"percutaneous vertebroplasty (bone biopsy included when performed), 1 vertebral body, unilateral or bilateral injection, inclusive of all imaging guidance; cervicothoracic",7.9
22511,Percutaneous Vertebroplasty and Vertebral Augmentation,Sacral,"percutaneous vertebroplasty (bone biopsy included when performed), 1 vertebral body, unilateral or bilateral injection, inclusive of all imaging guidance; lumbosacral",7.33
22513,Percutaneous Vertebroplasty and Vertebral Augmentation,Thoracic,"percutaneous vertebral augmentation, including cavity creation (fracture reduction and bone biopsy included when performed) using mechanical device (eg, kyphoplasty), 1 vertebral body, unilateral or bilateral cannulation, inclusive of all imaging guidance; thoracic",8.65
