object,label,sacral_cpt_code,sacral_cpt_description,l5_s1_cpt_code,l5_s1_cpt_description,lumbar_cpt_code,lumbar_cpt_description,thoracic_cpt_code,thoracic_cpt_description,cervical_cpt_code,cervical_cpt_description,odontoid,odontoid_cpt_description,c1_c2_cpt_code,c1_c2_cpt_description,unspecified_level_cpt_code,unspecified_level_cpt_description,modify_by_diagnosis_cpt_code,modify_by_diagnosis_cpt_description,add_on_level_cpt_code,add_on_level_cpt_description,,
vertebroplasty,Vertebroplasty,22511,"percutaneous vertebroplasty (bone biopsy included when performed), 1 vertebral body, unilateral or bilateral injection, inclusive of all imaging guidance; lumbosacral",22511,"percutaneous vertebroplasty (bone biopsy included when performed), 1 vertebral body, unilateral or bilateral injection, inclusive of all imaging guidance; lumbosacral",22511,"percutaneous vertebroplasty (bone biopsy included when performed), 1 vertebral body, unilateral or bilateral injection, inclusive of all imaging guidance; lumbosacral",22510,"percutaneous vertebroplasty (bone biopsy included when performed), 1 vertebral body, unilateral or bilateral injection, inclusive of all imaging guidance; cervicothoracic",22510,"percutaneous vertebroplasty (bone biopsy included when performed), 1 vertebral body, unilateral or bilateral injection, inclusive of all imaging guidance; cervicothoracic",,,,,,,,,,,,
vertebral_cement_augmentation,Vertebral body augmentation,,,22514,"percutaneous vertebral augmentation, including cavity creation (fracture reduction and bone biopsy included when performed) using mechanical device (eg, kyphoplasty), 1 vertebral body, unilateral or bilateral cannulation, inclusive of all imaging guidance; lumbar",22514,"percutaneous vertebral augmentation, including cavity creation (fracture reduction and bone biopsy included when performed) using mechanical device (eg, kyphoplasty), 1 vertebral body, unilateral or bilateral cannulation, inclusive of all imaging guidance; lumbar",22513,"percutaneous vertebral augmentation, including cavity creation (fracture reduction and bone biopsy included when performed) using mechanical device (eg, kyphoplasty), 1 vertebral body, unilateral or bilateral cannulation, inclusive of all imaging guidance; thoracic",22513,"percutaneous vertebral augmentation, including cavity creation (fracture reduction and bone biopsy included when performed) using mechanical device (eg, kyphoplasty), 1 vertebral body, unilateral or bilateral cannulation, inclusive of all imaging guidance; thoracic",,,,,,,,,,,,
laminar_downgoing_hook,Posterior spinal instrumentation,,,,,,,,,,,,,,,,,,,,,,
laminar_upgoing_hook,Posterior spinal instrumentation,,,,,,,,,,,,,,,,,,,,,,
lateral_mass_screw,Posterior spinal instrumentation,,,,,,,,,,,,,,,,,,,,,,
occipital_screw,Occiput instrumentation,,,,,,,,,,,,,,,,,,,,,,
pars_screw,Posterior spinal instrumentation,,,,,,,,,,,,,,,,,,,,,,
pedicle_hook,Posterior spinal instrumentation,,,,,,,,,,,,,,,,,,,,,,
pedicle_screw,Posterior spinal instrumentation,,,,,,,,,,,,,,,,,,,,,,
crosslink,Posterior spinal instrumentation,,,,,,,,,,,,,,,,,,,,,,
laminar_downgoing_hook,Posterior spinal instrumentation,,,,,,,,,,,,,,,,,,,,,,
sublaminar_wire,Posterior spinal instrumentation,,,,,,,,,,,,,,,,,,,,,,
tp_hook,Posterior spinal instrumentation,,,,,,,,,,,,,,,,,,,,,,
translaminar_screw,Posterior spinal instrumentation,,,,,,,,,,,,,,,,,,,,,,
pelvic_screw,Pelvic instrumentation,,,,,,,,,,,,,,,,,,,,,,
pelvic_screw_1,Pelvic instrumentation,,,,,,,,,,,,,,,,,,,,,,
pelvic_screw_2,Pelvic instrumentation,,,,,,,,,,,,,,,,,,,,,,
tether,Spinous process posterior tethering/wiring,,,,,,,,,,,,,,,,,,,,,,
costovertebral_approach,Decompression using a costovertebral approach,,,,,,,,,,,,,,,,,,,,,,
revision_costovertebral_approach,Reexploration and revision decompression using a costovertebral approach,,,,,,,,,,,,,,,,,,,,,,
transpedicular_approach,Decompression using a transpedicular approach,,,,,,,,,,,,,,,,,,,,,,
lateral_extracavitary_approach,Decompression using a modified lateral extracavitary approach,,,,,,,,,,,,,,,,,,,,,,
corpectomy_extracavitary_tumor,Partial Corpectomy with decompression using a modified lateral extracavitary approach for tumor,,,,,,,,,,,,,,,,,,,,,,
laminectomy_for_tumor,Laminectomy for biopsy and excision of extradural spinal tumor,,,,,,,,,,,,,,,,,,,,,,
revision_transpedicular_approach,Reexploration and revision decompression using a transpedicular approach,,,,,,,,,,,,,,,,,,,,,,
diskectomy,Decompression with diskectomy and laminotomy,,,,,,,,,,,,,,,,,,,,,,
sublaminar_decompression,"Decompression with bilateral partial laminectomies, foraminotomies, and medial facetectomies",,,,,,,,,,,,,,,,,,,,,,
laminectomy,Decompression with central laminectomy,63011,"laminectomy with exploration and/or decompression of spinal cord and/or cauda equina, without facetectomy, foraminotomy or discectomy (eg, spinal stenosis), 1 or 2 vertebral segments; sacral",63005,"laminectomy with exploration and/or decompression of spinal cord and/or cauda equina, without facetectomy, foraminotomy or discectomy (eg, spinal stenosis), 1 or 2 vertebral segments; lumbar, except for spondylolisthesis",63005,"laminectomy with exploration and/or decompression of spinal cord and/or cauda equina, without facetectomy, foraminotomy or discectomy (eg, spinal stenosis), 1 or 2 vertebral segments; lumbar, except for spondylolisthesis",63003,"laminectomy with exploration and/or decompression of spinal cord and/or cauda equina, without facetectomy, foraminotomy or discectomy (eg, spinal stenosis), 1 or 2 vertebral segments; thoracic",63001,"laminectomy with exploration and/or decompression of spinal cord and/or cauda equina, without facetectomy, foraminotomy or discectomy (eg, spinal stenosis), 1 or 2 vertebral segments; cervical",,,,,,,63012,"laminectomy with removal of abnormal facets and/or pars inter-articularis with decompression of cauda equina and nerve roots for spondylolisthesis, lumbar (Gill type procedure)",,,,
laminotomy,Decompression with laminotomy and medial facetectomy,,,,"laminotomy (hemilaminectomy), with decompression of nerve root(s), including partial facetectomy, foraminotomy and/or excision of herniated intervertebral disc; 1 interspace, lumbar",,"laminotomy (hemilaminectomy), with decompression of nerve root(s), including partial facetectomy, foraminotomy and/or excision of herniated intervertebral disc; 1 interspace, lumbar",,,,"laminotomy (hemilaminectomy), with decompression of nerve root(s), including partial facetectomy, foraminotomy and/or excision of herniated intervertebral disc; 1 interspace, cervical",,,,,,,,,,,,
revision_diskectomy,Reexploration and revision decompression with diskectomy and laminotomy,,,,,,,,,,,,,,,,,,,,,,
revision_sublaminar_decompression,"Reexploration and revision decompression with bilateral partial laminectomies, foraminotomies, and medial facetectomies",,,,,,,,,,,,,,,,,,,,,,
revision_laminectomy,Reexploration and revision decompression with central laminectomy,,,,,,,,,,,,,,,,,,,,,,
revision_laminotomy,Reexploration and revision decompression with laminotomy and medial facetectomy,,,,"laminotomy (hemilaminectomy), with decompression of nerve root(s), including partial facetectomy, foraminotomy and/or excision of herniated intervertebral disc, reexploration, single interspace; lumbar",,"laminotomy (hemilaminectomy), with decompression of nerve root(s), including partial facetectomy, foraminotomy and/or excision of herniated intervertebral disc, reexploration, single interspace; lumbar",,,,"laminotomy (hemilaminectomy), with decompression of nerve root(s), including partial facetectomy, foraminotomy and/or excision of herniated intervertebral disc, reexploration, single interspace; cervical",,,,,,,,,,,,
laminoplasty,Laminoplasty,,,,,,,,,,,,,,,,,,,,,,
grade_1,Inferior facetectomies,,,,,,,,,,,,,,,,,,,,,,
complete_facetectomy,Decompression with a complete facetectomy,,,,,,,,,,,,,,,,,,,,,,
grade_2,Posterior column osteotomy,,,,,,,,,,,,,,,,,,,,,,
grade_3,Pedicle subtraction osteotomy,,,,,,,,,,,,,,,,,,,,,,
grade_4,Extended three column osteotomy (vertebral body partial corpectomy),,,,,,,,,,,,,,,,,,,,,,
grade_5,Vertebral column resection,,,,,,,,,,,,,,,,,,,,,,
costotransversectomy,Costovertebral approach with costotransversectomy,,,,,,,,,,,,,,,,,,,,,,
no_implant_interbody_fusion,Interbody fusion (without interbody implant),,,,,,,,,,,,,,,,,,,,,,
llif,Lateral lumbar interbody fusion and insertion of interbody device,,,,,,,,,,,,,,,,,,,,,,
plif,Posterior lumbar interbody fusion and insertion of interbody device,,,,,,,,,,,,,,,,,,,,,,
tlif,Transforaminal lumbar interbody fusion and insertion of interbody device,,,,,,,,,,,,,,,,,,,,,,
intervertebral_cage,Insertion of intervertebral biomechanical implant,,,,,,,,,,,,,,,,,,,,,,
