object,label,level,cpt_code,cpt_description,modified_no_implant_cpt_code,modified_no_implant_cpt_description,modified_number_of_levels_cpt_code,modified_number_of_levels_cpt_description
vertebroplasty,Vertebroplasty,sacral,22511,"percutaneous vertebroplasty (bone biopsy included when performed), 1 vertebral body, unilateral or bilateral injection, inclusive of all imaging guidance; lumbosacral",,,,
vertebroplasty,Vertebroplasty,l5_s1,22511,"percutaneous vertebroplasty (bone biopsy included when performed), 1 vertebral body, unilateral or bilateral injection, inclusive of all imaging guidance; lumbosacral",,,,
vertebroplasty,Vertebroplasty,lumbar,22511,"percutaneous vertebroplasty (bone biopsy included when performed), 1 vertebral body, unilateral or bilateral injection, inclusive of all imaging guidance; lumbosacral",,,,
vertebroplasty,Vertebroplasty,thoracic,22510,"percutaneous vertebroplasty (bone biopsy included when performed), 1 vertebral body, unilateral or bilateral injection, inclusive of all imaging guidance; cervicothoracic",,,,
vertebroplasty,Vertebroplasty,cervical,22510,"percutaneous vertebroplasty (bone biopsy included when performed), 1 vertebral body, unilateral or bilateral injection, inclusive of all imaging guidance; cervicothoracic",,,,
vertebroplasty,Vertebroplasty,odontoid, , ,,,,
vertebroplasty,Vertebroplasty,c1_c2, , ,,,,
vertebroplasty,Vertebroplasty,unspecified, , ,,,,
vertebroplasty,Vertebroplasty,modified_by_dx, , ,,,,
vertebral_cement_augmentation,Vertebral body augmentation,sacral,22514,"percutaneous vertebral augmentation, including cavity creation (fracture reduction and bone biopsy included when performed) using mechanical device (eg, kyphoplasty), 1 vertebral body, unilateral or bilateral cannulation, inclusive of all imaging guidance; lumbar",,,,
vertebral_cement_augmentation,Vertebral body augmentation,l5_s1,22515,"percutaneous vertebral augmentation, including cavity creation (fracture reduction and bone biopsy included when performed) using mechanical device (eg, kyphoplasty), 1 vertebral body, unilateral or bilateral cannulation, inclusive of all imaging guidance; lumbar",,,,
vertebral_cement_augmentation,Vertebral body augmentation,lumbar,22516,"percutaneous vertebral augmentation, including cavity creation (fracture reduction and bone biopsy included when performed) using mechanical device (eg, kyphoplasty), 1 vertebral body, unilateral or bilateral cannulation, inclusive of all imaging guidance; lumbar",,,,
vertebral_cement_augmentation,Vertebral body augmentation,thoracic,22513,"percutaneous vertebral augmentation, including cavity creation (fracture reduction and bone biopsy included when performed) using mechanical device (eg, kyphoplasty), 1 vertebral body, unilateral or bilateral cannulation, inclusive of all imaging guidance; thoracic",,,,
vertebral_cement_augmentation,Vertebral body augmentation,cervical,22513,"percutaneous vertebral augmentation, including cavity creation (fracture reduction and bone biopsy included when performed) using mechanical device (eg, kyphoplasty), 1 vertebral body, unilateral or bilateral cannulation, inclusive of all imaging guidance; thoracic",,,,
vertebral_cement_augmentation,Vertebral body augmentation,odontoid, , ,,,,
vertebral_cement_augmentation,Vertebral body augmentation,c1_c2, , ,,,,
vertebral_cement_augmentation,Vertebral body augmentation,unspecified, , ,,,,
vertebral_cement_augmentation,Vertebral body augmentation,modified_by_dx, , ,,,,
laminar_downgoing_hook,Posterior spinal instrumentation,sacral, , ,,,,
laminar_downgoing_hook,Posterior spinal instrumentation,l5_s1, , ,,,,
laminar_downgoing_hook,Posterior spinal instrumentation,lumbar, , ,,,,
