spine_category,category_number,site,site_cervical,site_thoracic,site_lumbar,diagnosis,icd10_code,three_digit,chapter,sub_chapter,major,dx_lower,site_number
Degenerative,1,lumbar,FALSE,FALSE,TRUE,"Spinal stenosis, lumbar region",M48.06,M48,Diseases of the musculoskeletal system and connective tissue,Spondylopathies,Other spondylopathies,"spinal stenosis, lumbar region",1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,"Spinal stenosis, lumbosacral region",M48.07,M48,Diseases of the musculoskeletal system and connective tissue,Spondylopathies,Other spondylopathies,"spinal stenosis, lumbosacral region",1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,"Spinal stenosis, sacral and sacrococcygeal region",M48.08,M48,Diseases of the musculoskeletal system and connective tissue,Spondylopathies,Other spondylopathies,"spinal stenosis, sacral and sacrococcygeal region",1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,"Kissing spine, lumbar region",M48.26,M48,Diseases of the musculoskeletal system and connective tissue,Spondylopathies,Other spondylopathies,"kissing spine, lumbar region",1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,"Kissing spine, lumbosacral region",M48.27,M48,Diseases of the musculoskeletal system and connective tissue,Spondylopathies,Other spondylopathies,"kissing spine, lumbosacral region",1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,"Other specified spondylopathies, lumbar region",M48.8X6,M48,Diseases of the musculoskeletal system and connective tissue,Spondylopathies,Other spondylopathies,"other specified spondylopathies, lumbar region",1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,"Other specified spondylopathies, lumbosacral region",M48.8X7,M48,Diseases of the musculoskeletal system and connective tissue,Spondylopathies,Other spondylopathies,"other specified spondylopathies, lumbosacral region",1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,"Other specified spondylopathies, sacral and sacrococcygeal region",M48.8X8,M48,Diseases of the musculoskeletal system and connective tissue,Spondylopathies,Other spondylopathies,"other specified spondylopathies, sacral and sacrococcygeal region",1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,"Anterior spinal artery compression syndromes, lumbar region",M47.016,M47,Diseases of the musculoskeletal system and connective tissue,Spondylopathies,Spondylosis,"anterior spinal artery compression syndromes, lumbar region",1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,"Other spondylosis with myelopathy, lumbar region",M47.16,M47,Diseases of the musculoskeletal system and connective tissue,Spondylopathies,Spondylosis,"other spondylosis with myelopathy, lumbar region",1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,"Other spondylosis with radiculopathy, lumbar region",M47.26,M47,Diseases of the musculoskeletal system and connective tissue,Spondylopathies,Spondylosis,"other spondylosis with radiculopathy, lumbar region",1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,"Other spondylosis with radiculopathy, lumbosacral region",M47.27,M47,Diseases of the musculoskeletal system and connective tissue,Spondylopathies,Spondylosis,"other spondylosis with radiculopathy, lumbosacral region",1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,"Other spondylosis with radiculopathy, sacral and sacrococcygeal region",M47.28,M47,Diseases of the musculoskeletal system and connective tissue,Spondylopathies,Spondylosis,"other spondylosis with radiculopathy, sacral and sacrococcygeal region",1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,"Spondylosis without myelopathy or radiculopathy, lumbar region",M47.816,M47,Diseases of the musculoskeletal system and connective tissue,Spondylopathies,Spondylosis,"spondylosis without myelopathy or radiculopathy, lumbar region",1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,"Spondylosis without myelopathy or radiculopathy, lumbosacral region",M47.817,M47,Diseases of the musculoskeletal system and connective tissue,Spondylopathies,Spondylosis,"spondylosis without myelopathy or radiculopathy, lumbosacral region",1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,"Spondylosis without myelopathy or radiculopathy, sacral and sacrococcygeal region",M47.818,M47,Diseases of the musculoskeletal system and connective tissue,Spondylopathies,Spondylosis,"spondylosis without myelopathy or radiculopathy, sacral and sacrococcygeal region",1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,"Other spondylosis, lumbar region",M47.896,M47,Diseases of the musculoskeletal system and connective tissue,Spondylopathies,Spondylosis,"other spondylosis, lumbar region",1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,"Other spondylosis, lumbosacral region",M47.897,M47,Diseases of the musculoskeletal system and connective tissue,Spondylopathies,Spondylosis,"other spondylosis, lumbosacral region",1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,"Other spondylosis, sacral and sacrococcygeal region",M47.898,M47,Diseases of the musculoskeletal system and connective tissue,Spondylopathies,Spondylosis,"other spondylosis, sacral and sacrococcygeal region",1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,"Spondylopathy in diseases classified elsewhere, lumbar region",M49.86,M49,Diseases of the musculoskeletal system and connective tissue,Spondylopathies,Spondylopathies in diseases classified elsewhere,"spondylopathy in diseases classified elsewhere, lumbar region",1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,"Spondylopathy in diseases classified elsewhere, lumbosacral region",M49.87,M49,Diseases of the musculoskeletal system and connective tissue,Spondylopathies,Spondylopathies in diseases classified elsewhere,"spondylopathy in diseases classified elsewhere, lumbosacral region",1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,"Spondylopathy in diseases classified elsewhere, sacral and sacrococcygeal region",M49.88,M49,Diseases of the musculoskeletal system and connective tissue,Spondylopathies,Spondylopathies in diseases classified elsewhere,"spondylopathy in diseases classified elsewhere, sacral and sacrococcygeal region",1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,"Intervertebral disc disorders with myelopathy, lumbar region",M51.06,M51,Diseases of the musculoskeletal system and connective tissue,Other Dorsopathies,"Thoracic, thoracolum, and lumbosacral intvrt disc disorders","intervertebral disc disorders with myelopathy, lumbar region",1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,"Intervertebral disc disorders with radiculopathy, lumbar region",M51.16,M51,Diseases of the musculoskeletal system and connective tissue,Other Dorsopathies,"Thoracic, thoracolum, and lumbosacral intvrt disc disorders","intervertebral disc disorders with radiculopathy, lumbar region",1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,"Intervertebral disc disorders with radiculopathy, lumbosacral region",M51.17,M51,Diseases of the musculoskeletal system and connective tissue,Other Dorsopathies,"Thoracic, thoracolum, and lumbosacral intvrt disc disorders","intervertebral disc disorders with radiculopathy, lumbosacral region",1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,"Other intervertebral disc displacement, lumbar region",M51.26,M51,Diseases of the musculoskeletal system and connective tissue,Other Dorsopathies,"Thoracic, thoracolum, and lumbosacral intvrt disc disorders","other intervertebral disc displacement, lumbar region",1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,"Other intervertebral disc displacement, lumbosacral region",M51.27,M51,Diseases of the musculoskeletal system and connective tissue,Other Dorsopathies,"Thoracic, thoracolum, and lumbosacral intvrt disc disorders","other intervertebral disc displacement, lumbosacral region",1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,"Other intervertebral disc degeneration, lumbar region",M51.36,M51,Diseases of the musculoskeletal system and connective tissue,Other Dorsopathies,"Thoracic, thoracolum, and lumbosacral intvrt disc disorders","other intervertebral disc degeneration, lumbar region",1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,"Other intervertebral disc degeneration, lumbosacral region",M51.37,M51,Diseases of the musculoskeletal system and connective tissue,Other Dorsopathies,"Thoracic, thoracolum, and lumbosacral intvrt disc disorders","other intervertebral disc degeneration, lumbosacral region",1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,"Schmorl's nodes, lumbar region",M51.46,M51,Diseases of the musculoskeletal system and connective tissue,Other Dorsopathies,"Thoracic, thoracolum, and lumbosacral intvrt disc disorders","schmorl's nodes, lumbar region",1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,"Schmorl's nodes, lumbosacral region",M51.47,M51,Diseases of the musculoskeletal system and connective tissue,Other Dorsopathies,"Thoracic, thoracolum, and lumbosacral intvrt disc disorders","schmorl's nodes, lumbosacral region",1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,"Other intervertebral disc disorders, lumbar region",M51.86,M51,Diseases of the musculoskeletal system and connective tissue,Other Dorsopathies,"Thoracic, thoracolum, and lumbosacral intvrt disc disorders","other intervertebral disc disorders, lumbar region",1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,"Other intervertebral disc disorders, lumbosacral region",M51.87,M51,Diseases of the musculoskeletal system and connective tissue,Other Dorsopathies,"Thoracic, thoracolum, and lumbosacral intvrt disc disorders","other intervertebral disc disorders, lumbosacral region",1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,"Radiculopathy, lumbar region",M54.16,M54,Diseases of the musculoskeletal system and connective tissue,Other Dorsopathies,Dorsalgia,"radiculopathy, lumbar region",1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,"Radiculopathy, lumbosacral region",M54.17,M54,Diseases of the musculoskeletal system and connective tissue,Other Dorsopathies,Dorsalgia,"radiculopathy, lumbosacral region",1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,"Radiculopathy, sacral and sacrococcygeal region",M54.18,M54,Diseases of the musculoskeletal system and connective tissue,Other Dorsopathies,Dorsalgia,"radiculopathy, sacral and sacrococcygeal region",1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,"Sciatica, unspecified side",M54.30,M54,Diseases of the musculoskeletal system and connective tissue,Other Dorsopathies,Dorsalgia,"sciatica, unspecified side",1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,"Sciatica, right side",M54.31,M54,Diseases of the musculoskeletal system and connective tissue,Other Dorsopathies,Dorsalgia,"sciatica, right side",1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,"Sciatica, left side",M54.32,M54,Diseases of the musculoskeletal system and connective tissue,Other Dorsopathies,Dorsalgia,"sciatica, left side",1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,"Lumbago with sciatica, unspecified side",M54.40,M54,Diseases of the musculoskeletal system and connective tissue,Other Dorsopathies,Dorsalgia,"lumbago with sciatica, unspecified side",1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,"Lumbago with sciatica, right side",M54.41,M54,Diseases of the musculoskeletal system and connective tissue,Other Dorsopathies,Dorsalgia,"lumbago with sciatica, right side",1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,"Lumbago with sciatica, left side",M54.42,M54,Diseases of the musculoskeletal system and connective tissue,Other Dorsopathies,Dorsalgia,"lumbago with sciatica, left side",1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,Low back pain,M54.5,M54,Diseases of the musculoskeletal system and connective tissue,Other Dorsopathies,Dorsalgia,low back pain,1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,Segmental and somatic dysfunction of lumbar region,M99.03,M99,Diseases of the musculoskeletal system and connective tissue,"Biomechanical Lesions, Not Elsewhere Classified","Biomechanical lesions, not elsewhere classified",segmental and somatic dysfunction of lumbar region,1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,Subluxation complex (vertebral) of lumbar region,M99.13,M99,Diseases of the musculoskeletal system and connective tissue,"Biomechanical Lesions, Not Elsewhere Classified","Biomechanical lesions, not elsewhere classified",subluxation complex (vertebral) of lumbar region,1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,Subluxation complex (vertebral) of sacral region,M99.14,M99,Diseases of the musculoskeletal system and connective tissue,"Biomechanical Lesions, Not Elsewhere Classified","Biomechanical lesions, not elsewhere classified",subluxation complex (vertebral) of sacral region,1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,Subluxation complex (vertebral) of pelvic region,M99.15,M99,Diseases of the musculoskeletal system and connective tissue,"Biomechanical Lesions, Not Elsewhere Classified","Biomechanical lesions, not elsewhere classified",subluxation complex (vertebral) of pelvic region,1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,Subluxation stenosis of neural canal of lumbar region,M99.23,M99,Diseases of the musculoskeletal system and connective tissue,"Biomechanical Lesions, Not Elsewhere Classified","Biomechanical lesions, not elsewhere classified",subluxation stenosis of neural canal of lumbar region,1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,Subluxation stenosis of neural canal of sacral region,M99.24,M99,Diseases of the musculoskeletal system and connective tissue,"Biomechanical Lesions, Not Elsewhere Classified","Biomechanical lesions, not elsewhere classified",subluxation stenosis of neural canal of sacral region,1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,Subluxation stenosis of neural canal of pelvic region,M99.25,M99,Diseases of the musculoskeletal system and connective tissue,"Biomechanical Lesions, Not Elsewhere Classified","Biomechanical lesions, not elsewhere classified",subluxation stenosis of neural canal of pelvic region,1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,Osseous stenosis of neural canal of lumbar region,M99.33,M99,Diseases of the musculoskeletal system and connective tissue,"Biomechanical Lesions, Not Elsewhere Classified","Biomechanical lesions, not elsewhere classified",osseous stenosis of neural canal of lumbar region,1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,Osseous stenosis of neural canal of sacral region,M99.34,M99,Diseases of the musculoskeletal system and connective tissue,"Biomechanical Lesions, Not Elsewhere Classified","Biomechanical lesions, not elsewhere classified",osseous stenosis of neural canal of sacral region,1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,Osseous stenosis of neural canal of pelvic region,M99.35,M99,Diseases of the musculoskeletal system and connective tissue,"Biomechanical Lesions, Not Elsewhere Classified","Biomechanical lesions, not elsewhere classified",osseous stenosis of neural canal of pelvic region,1
Degenerative,1,lumbar,FALSE,FALSE,TRUE,Connective tissue stenosis of neural canal of lumbar region,M99.43,M99,Diseases of the musculoskeletal system and connective tissue,"Biomechanical Lesions, Not Elsewhere Classified","Biomechanical lesions, not elsewhere classified",connective tissue stenosis of neural canal of lumbar region,1
