icd10_code,three_digit,long_desc,major,sub_chapter,chapter
S12.000A,S12,"Unspecified displaced fracture of first cervical vertebra, initial encounter for closed fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.000B,S12,"Unspecified displaced fracture of first cervical vertebra, initial encounter for open fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.000S,S12,"Unspecified displaced fracture of first cervical vertebra, sequela",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.001A,S12,"Unspecified nondisplaced fracture of first cervical vertebra, initial encounter for closed fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.001B,S12,"Unspecified nondisplaced fracture of first cervical vertebra, initial encounter for open fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.001S,S12,"Unspecified nondisplaced fracture of first cervical vertebra, sequela",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.01XA,S12,"Stable burst fracture of first cervical vertebra, initial encounter for closed fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.01XB,S12,"Stable burst fracture of first cervical vertebra, initial encounter for open fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.01XS,S12,"Stable burst fracture of first cervical vertebra, sequela",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.02XA,S12,"Unstable burst fracture of first cervical vertebra, initial encounter for closed fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.02XB,S12,"Unstable burst fracture of first cervical vertebra, initial encounter for open fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.02XS,S12,"Unstable burst fracture of first cervical vertebra, sequela",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.030A,S12,"Displaced posterior arch fracture of first cervical vertebra, initial encounter for closed fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.030B,S12,"Displaced posterior arch fracture of first cervical vertebra, initial encounter for open fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.030S,S12,"Displaced posterior arch fracture of first cervical vertebra, sequela",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.031A,S12,"Nondisplaced posterior arch fracture of first cervical vertebra, initial encounter for closed fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.031B,S12,"Nondisplaced posterior arch fracture of first cervical vertebra, initial encounter for open fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.031S,S12,"Nondisplaced posterior arch fracture of first cervical vertebra, sequela",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.040A,S12,"Displaced lateral mass fracture of first cervical vertebra, initial encounter for closed fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.040B,S12,"Displaced lateral mass fracture of first cervical vertebra, initial encounter for open fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.040S,S12,"Displaced lateral mass fracture of first cervical vertebra, sequela",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.041A,S12,"Nondisplaced lateral mass fracture of first cervical vertebra, initial encounter for closed fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.041B,S12,"Nondisplaced lateral mass fracture of first cervical vertebra, initial encounter for open fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.041S,S12,"Nondisplaced lateral mass fracture of first cervical vertebra, sequela",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.090A,S12,"Other displaced fracture of first cervical vertebra, initial encounter for closed fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.090B,S12,"Other displaced fracture of first cervical vertebra, initial encounter for open fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.090S,S12,"Other displaced fracture of first cervical vertebra, sequela",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.091A,S12,"Other nondisplaced fracture of first cervical vertebra, initial encounter for closed fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.091B,S12,"Other nondisplaced fracture of first cervical vertebra, initial encounter for open fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.091S,S12,"Other nondisplaced fracture of first cervical vertebra, sequela",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.100A,S12,"Unspecified displaced fracture of second cervical vertebra, initial encounter for closed fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.100B,S12,"Unspecified displaced fracture of second cervical vertebra, initial encounter for open fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.100S,S12,"Unspecified displaced fracture of second cervical vertebra, sequela",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.101A,S12,"Unspecified nondisplaced fracture of second cervical vertebra, initial encounter for closed fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.101B,S12,"Unspecified nondisplaced fracture of second cervical vertebra, initial encounter for open fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.101S,S12,"Unspecified nondisplaced fracture of second cervical vertebra, sequela",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.130A,S12,"Unspecified traumatic displaced spondylolisthesis of second cervical vertebra, initial encounter for closed fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.130B,S12,"Unspecified traumatic displaced spondylolisthesis of second cervical vertebra, initial encounter for open fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.130S,S12,"Unspecified traumatic displaced spondylolisthesis of second cervical vertebra, sequela",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.131A,S12,"Unspecified traumatic nondisplaced spondylolisthesis of second cervical vertebra, initial encounter for closed fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.131B,S12,"Unspecified traumatic nondisplaced spondylolisthesis of second cervical vertebra, initial encounter for open fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.131S,S12,"Unspecified traumatic nondisplaced spondylolisthesis of second cervical vertebra, sequela",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.14XA,S12,"Type III traumatic spondylolisthesis of second cervical vertebra, initial encounter for closed fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.14XB,S12,"Type III traumatic spondylolisthesis of second cervical vertebra, initial encounter for open fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.14XS,S12,"Type III traumatic spondylolisthesis of second cervical vertebra, sequela",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
S12.150A,S12,"Other traumatic displaced spondylolisthesis of second cervical vertebra, initial encounter for closed fracture",Fracture of cervical vertebra and other parts of neck,Injuries To The Neck,"Injury, poisoning and certain other consequences of external causes"
