object_id,x,y
C1-C2_central_anterior_plate_1,0.495,0.94
C1-C2_central_anterior_plate_1,0.495,0.975
C1-C2_central_anterior_plate_1,0.495,0.976
C1-C2_central_anterior_plate_1,0.496,0.976
C1-C2_central_anterior_plate_1,0.503,0.976
C1-C2_central_anterior_plate_1,0.504,0.976
C1-C2_central_anterior_plate_1,0.505,0.976
C1-C2_central_anterior_plate_1,0.505,0.975
C1-C2_central_anterior_plate_1,0.505,0.94
C1-C2_central_anterior_plate_1,0.505,0.939
C1-C2_central_anterior_plate_1,0.504,0.939
C1-C2_central_anterior_plate_1,0.503,0.939
C1-C2_central_anterior_plate_1,0.496,0.939
C1-C2_central_anterior_plate_1,0.495,0.939
C1-C2_central_anterior_plate_1,0.495,0.94
C1-C2_central_decompression_diskectomy_fusion_1,0.487,0.965
C1-C2_central_decompression_diskectomy_fusion_1,0.487,0.966
C1-C2_central_decompression_diskectomy_fusion_1,0.488,0.966
C1-C2_central_decompression_diskectomy_fusion_1,0.488,0.967
C1-C2_central_decompression_diskectomy_fusion_1,0.489,0.967
C1-C2_central_decompression_diskectomy_fusion_1,0.511,0.967
C1-C2_central_decompression_diskectomy_fusion_1,0.512,0.967
C1-C2_central_decompression_diskectomy_fusion_1,0.512,0.966
C1-C2_central_decompression_diskectomy_fusion_1,0.513,0.966
C1-C2_central_decompression_diskectomy_fusion_1,0.513,0.965
C1-C2_central_decompression_diskectomy_fusion_1,0.513,0.955
C1-C2_central_decompression_diskectomy_fusion_1,0.513,0.954
C1-C2_central_decompression_diskectomy_fusion_1,0.512,0.954
C1-C2_central_decompression_diskectomy_fusion_1,0.512,0.953
C1-C2_central_decompression_diskectomy_fusion_1,0.511,0.953
C1-C2_central_decompression_diskectomy_fusion_1,0.489,0.953
C1-C2_central_decompression_diskectomy_fusion_1,0.488,0.953
C1-C2_central_decompression_diskectomy_fusion_1,0.488,0.954
C1-C2_central_decompression_diskectomy_fusion_1,0.487,0.954
C1-C2_central_decompression_diskectomy_fusion_1,0.487,0.955
C1-C2_central_decompression_diskectomy_fusion_1,0.487,0.965
C1-C2_central_diskectomy_fusion_1,0.487,0.965
C1-C2_central_diskectomy_fusion_1,0.487,0.966
C1-C2_central_diskectomy_fusion_1,0.488,0.966
C1-C2_central_diskectomy_fusion_1,0.488,0.967
C1-C2_central_diskectomy_fusion_1,0.489,0.967
C1-C2_central_diskectomy_fusion_1,0.511,0.967
C1-C2_central_diskectomy_fusion_1,0.512,0.967
C1-C2_central_diskectomy_fusion_1,0.512,0.966
C1-C2_central_diskectomy_fusion_1,0.513,0.966
C1-C2_central_diskectomy_fusion_1,0.513,0.965
C1-C2_central_diskectomy_fusion_1,0.513,0.955
C1-C2_central_diskectomy_fusion_1,0.513,0.954
C1-C2_central_diskectomy_fusion_1,0.512,0.954
C1-C2_central_diskectomy_fusion_1,0.512,0.953
C1-C2_central_diskectomy_fusion_1,0.511,0.953
C1-C2_central_diskectomy_fusion_1,0.489,0.953
C1-C2_central_diskectomy_fusion_1,0.488,0.953
C1-C2_central_diskectomy_fusion_1,0.488,0.954
C1-C2_central_diskectomy_fusion_1,0.487,0.954
C1-C2_central_diskectomy_fusion_1,0.487,0.955
C1-C2_central_diskectomy_fusion_1,0.487,0.965
C1-C2_central_diskectomy_fusion_no_interbody_device_1,0.486,0.965
C1-C2_central_diskectomy_fusion_no_interbody_device_1,0.486,0.966
C1-C2_central_diskectomy_fusion_no_interbody_device_1,0.486,0.967
C1-C2_central_diskectomy_fusion_no_interbody_device_1,0.487,0.967
C1-C2_central_diskectomy_fusion_no_interbody_device_1,0.487,0.968
C1-C2_central_diskectomy_fusion_no_interbody_device_1,0.488,0.968
C1-C2_central_diskectomy_fusion_no_interbody_device_1,0.489,0.968
C1-C2_central_diskectomy_fusion_no_interbody_device_1,0.511,0.968
C1-C2_central_diskectomy_fusion_no_interbody_device_1,0.512,0.968
C1-C2_central_diskectomy_fusion_no_interbody_device_1,0.513,0.968
C1-C2_central_diskectomy_fusion_no_interbody_device_1,0.513,0.967
C1-C2_central_diskectomy_fusion_no_interbody_device_1,0.514,0.967
C1-C2_central_diskectomy_fusion_no_interbody_device_1,0.514,0.966
C1-C2_central_diskectomy_fusion_no_interbody_device_1,0.514,0.965
C1-C2_central_diskectomy_fusion_no_interbody_device_1,0.514,0.955
C1-C2_central_diskectomy_fusion_no_interbody_device_1,0.514,0.954
C1-C2_central_diskectomy_fusion_no_interbody_device_1,0.514,0.953
C1-C2_central_diskectomy_fusion_no_interbody_device_1,0.513,0.953
C1-C2_central_diskectomy_fusion_no_interbody_device_1,0.513,0.952
C1-C2_central_diskectomy_fusion_no_interbody_device_1,0.512,0.952
C1-C2_central_diskectomy_fusion_no_interbody_device_1,0.511,0.952
C1-C2_central_diskectomy_fusion_no_interbody_device_1,0.489,0.952
C1-C2_central_diskectomy_fusion_no_interbody_device_1,0.488,0.952
C1-C2_central_diskectomy_fusion_no_interbody_device_1,0.487,0.952
C1-C2_central_diskectomy_fusion_no_interbody_device_1,0.487,0.953
C1-C2_central_diskectomy_fusion_no_interbody_device_1,0.486,0.953
C1-C2_central_diskectomy_fusion_no_interbody_device_1,0.486,0.954
C1-C2_central_diskectomy_fusion_no_interbody_device_1,0.486,0.955
C1-C2_central_diskectomy_fusion_no_interbody_device_1,0.486,0.965
C1-C2_central_diskectomy_only_1,0.486,0.965
C1-C2_central_diskectomy_only_1,0.486,0.966
C1-C2_central_diskectomy_only_1,0.486,0.967
C1-C2_central_diskectomy_only_1,0.487,0.967
C1-C2_central_diskectomy_only_1,0.487,0.968
C1-C2_central_diskectomy_only_1,0.488,0.968
C1-C2_central_diskectomy_only_1,0.489,0.968
C1-C2_central_diskectomy_only_1,0.511,0.968
C1-C2_central_diskectomy_only_1,0.512,0.968
C1-C2_central_diskectomy_only_1,0.513,0.968
C1-C2_central_diskectomy_only_1,0.513,0.967
C1-C2_central_diskectomy_only_1,0.514,0.967
C1-C2_central_diskectomy_only_1,0.514,0.966
C1-C2_central_diskectomy_only_1,0.514,0.965
C1-C2_central_diskectomy_only_1,0.514,0.955
C1-C2_central_diskectomy_only_1,0.514,0.954
C1-C2_central_diskectomy_only_1,0.514,0.953
C1-C2_central_diskectomy_only_1,0.513,0.953
C1-C2_central_diskectomy_only_1,0.513,0.952
C1-C2_central_diskectomy_only_1,0.512,0.952
C1-C2_central_diskectomy_only_1,0.511,0.952
C1-C2_central_diskectomy_only_1,0.489,0.952
C1-C2_central_diskectomy_only_1,0.488,0.952
C1-C2_central_diskectomy_only_1,0.487,0.952
C1-C2_central_diskectomy_only_1,0.487,0.953
C1-C2_central_diskectomy_only_1,0.486,0.953
C1-C2_central_diskectomy_only_1,0.486,0.954
C1-C2_central_diskectomy_only_1,0.486,0.955
C1-C2_central_diskectomy_only_1,0.486,0.965
C1-C2_central_sublaminar_decompression_1,0.492,0.873
C1-C2_central_sublaminar_decompression_1,0.493,0.883
C1-C2_central_sublaminar_decompression_1,0.493,0.884
C1-C2_central_sublaminar_decompression_1,0.494,0.884
C1-C2_central_sublaminar_decompression_1,0.494,0.885
C1-C2_central_sublaminar_decompression_1,0.495,0.885
C1-C2_central_sublaminar_decompression_1,0.496,0.885
C1-C2_central_sublaminar_decompression_1,0.504,0.885
C1-C2_central_sublaminar_decompression_1,0.505,0.885
C1-C2_central_sublaminar_decompression_1,0.506,0.885
C1-C2_central_sublaminar_decompression_1,0.506,0.884
C1-C2_central_sublaminar_decompression_1,0.507,0.884
C1-C2_central_sublaminar_decompression_1,0.507,0.883
C1-C2_central_sublaminar_decompression_1,0.508,0.873
C1-C2_central_sublaminar_decompression_1,0.508,0.872
C1-C2_central_sublaminar_decompression_1,0.508,0.871
C1-C2_central_sublaminar_decompression_1,0.507,0.871
C1-C2_central_sublaminar_decompression_1,0.506,0.871
C1-C2_central_sublaminar_decompression_1,0.494,0.871
C1-C2_central_sublaminar_decompression_1,0.493,0.871
C1-C2_central_sublaminar_decompression_1,0.492,0.871
C1-C2_central_sublaminar_decompression_1,0.492,0.872
C1-C2_central_sublaminar_decompression_1,0.492,0.873
C1-C2_central_tether_1,0.495,0.886
C1-C2_central_tether_1,0.505,0.886
C1-C2_central_tether_1,0.506,0.886
C1-C2_central_tether_1,0.506,0.885
C1-C2_central_tether_1,0.506,0.884
C1-C2_central_tether_1,0.501,0.876
C1-C2_central_tether_1,0.506,0.869
C1-C2_central_tether_1,0.506,0.868
C1-C2_central_tether_1,0.506,0.867
C1-C2_central_tether_1,0.505,0.867
C1-C2_central_tether_1,0.495,0.867
C1-C2_central_tether_1,0.494,0.867
C1-C2_central_tether_1,0.494,0.868
C1-C2_central_tether_1,0.494,0.869
C1-C2_central_tether_1,0.499,0.876
C1-C2_central_tether_1,0.494,0.884
C1-C2_central_tether_1,0.494,0.885
C1-C2_central_tether_1,0.494,0.886
C1-C2_central_tether_1,0.5,0.875
C1-C2_central_tether_1,0.497,0.869
C1-C2_central_tether_1,0.503,0.869
C1-C2_central_tether_1,0.5,0.878
C1-C2_central_tether_1,0.503,0.884
C1-C2_central_tether_1,0.497,0.884
C1-C2_central_tether_1,0.495,0.886
C1_central_corpectomy_1,0.485,0.965
C1_central_corpectomy_1,0.485,0.985
C1_central_corpectomy_1,0.485,0.986
C1_central_corpectomy_1,0.486,0.986
C1_central_corpectomy_1,0.513,0.986
C1_central_corpectomy_1,0.514,0.986
C1_central_corpectomy_1,0.515,0.986
C1_central_corpectomy_1,0.515,0.985
C1_central_corpectomy_1,0.515,0.965
C1_central_corpectomy_1,0.515,0.964
C1_central_corpectomy_1,0.514,0.964
C1_central_corpectomy_1,0.513,0.964
C1_central_corpectomy_1,0.486,0.964
C1_central_corpectomy_1,0.485,0.964
C1_central_corpectomy_1,0.485,0.965
C1_central_corpectomy_cage_1,0.492,0.958
C1_central_corpectomy_cage_1,0.486,0.958
C1_central_corpectomy_cage_1,0.485,0.958
C1_central_corpectomy_cage_1,0.485,0.959
C1_central_corpectomy_cage_1,0.485,0.96
C1_central_corpectomy_cage_1,0.485,0.961
C1_central_corpectomy_cage_1,0.493,0.986
C1_central_corpectomy_cage_1,0.493,0.987
C1_central_corpectomy_cage_1,0.494,0.987
C1_central_corpectomy_cage_1,0.495,0.987
C1_central_corpectomy_cage_1,0.496,0.987
C1_central_corpectomy_cage_1,0.496,0.986
C1_central_corpectomy_cage_1,0.497,0.986
C1_central_corpectomy_cage_1,0.497,0.985
C1_central_corpectomy_cage_1,0.497,0.965
C1_central_corpectomy_cage_1,0.497,0.964
C1_central_corpectomy_cage_1,0.496,0.964
C1_central_corpectomy_cage_1,0.508,0.958
C1_central_corpectomy_cage_1,0.504,0.964
C1_central_corpectomy_cage_1,0.503,0.964
C1_central_corpectomy_cage_1,0.503,0.965
C1_central_corpectomy_cage_1,0.503,0.985
C1_central_corpectomy_cage_1,0.503,0.986
C1_central_corpectomy_cage_1,0.504,0.986
C1_central_corpectomy_cage_1,0.504,0.987
C1_central_corpectomy_cage_1,0.505,0.987
C1_central_corpectomy_cage_1,0.506,0.987
C1_central_corpectomy_cage_1,0.507,0.987
C1_central_corpectomy_cage_1,0.507,0.986
C1_central_corpectomy_cage_1,0.515,0.961
C1_central_corpectomy_cage_1,0.515,0.96
C1_central_corpectomy_cage_1,0.515,0.959
C1_central_corpectomy_cage_1,0.515,0.958
C1_central_corpectomy_cage_1,0.514,0.958
C1_central_corpectomy_cage_1,0.513,0.958
C1_central_corpectomy_cage_1,0.492,0.958
C1_central_crosslink_1,0.5,0.89
C1_central_crosslink_1,0.531,0.886
C1_central_crosslink_1,0.532,0.886
C1_central_crosslink_1,0.533,0.886
C1_central_crosslink_1,0.533,0.885
C1_central_crosslink_1,0.534,0.885
C1_central_crosslink_1,0.534,0.884
C1_central_crosslink_1,0.534,0.883
C1_central_crosslink_1,0.534,0.882
C1_central_crosslink_1,0.534,0.881
C1_central_crosslink_1,0.533,0.881
C1_central_crosslink_1,0.533,0.88
C1_central_crosslink_1,0.532,0.88
C1_central_crosslink_1,0.531,0.88
C1_central_crosslink_1,0.53,0.88
C1_central_crosslink_1,0.5,0.883
C1_central_crosslink_1,0.47,0.88
C1_central_crosslink_1,0.469,0.88
C1_central_crosslink_1,0.468,0.88
C1_central_crosslink_1,0.467,0.88
C1_central_crosslink_1,0.467,0.881
C1_central_crosslink_1,0.466,0.881
C1_central_crosslink_1,0.466,0.882
C1_central_crosslink_1,0.466,0.883
C1_central_crosslink_1,0.466,0.884
C1_central_crosslink_1,0.466,0.885
C1_central_crosslink_1,0.467,0.885
C1_central_crosslink_1,0.467,0.886
C1_central_crosslink_1,0.468,0.886
C1_central_crosslink_1,0.469,0.886
C1_central_crosslink_1,0.5,0.89
C1_central_incision_drainage_1,0.458,0.873
C1_central_incision_drainage_1,0.458,0.889
C1_central_incision_drainage_1,0.458,0.89
C1_central_incision_drainage_1,0.458,0.891
C1_central_incision_drainage_1,0.459,0.891
C1_central_incision_drainage_1,0.46,0.891
C1_central_incision_drainage_1,0.54,0.891
C1_central_incision_drainage_1,0.541,0.891
C1_central_incision_drainage_1,0.542,0.891
C1_central_incision_drainage_1,0.542,0.89
C1_central_incision_drainage_1,0.542,0.889
C1_central_incision_drainage_1,0.542,0.873
C1_central_incision_drainage_1,0.542,0.872
C1_central_incision_drainage_1,0.542,0.871
C1_central_incision_drainage_1,0.541,0.871
C1_central_incision_drainage_1,0.54,0.871
C1_central_incision_drainage_1,0.46,0.871
C1_central_incision_drainage_1,0.459,0.871
C1_central_incision_drainage_1,0.458,0.871
C1_central_incision_drainage_1,0.458,0.872
C1_central_incision_drainage_1,0.458,0.873
C1_central_laminectomy_1,0.492,0.873
C1_central_laminectomy_1,0.492,0.889
C1_central_laminectomy_1,0.492,0.89
C1_central_laminectomy_1,0.492,0.891
C1_central_laminectomy_1,0.493,0.891
C1_central_laminectomy_1,0.494,0.891
C1_central_laminectomy_1,0.506,0.891
C1_central_laminectomy_1,0.507,0.891
C1_central_laminectomy_1,0.508,0.891
C1_central_laminectomy_1,0.508,0.89
C1_central_laminectomy_1,0.508,0.889
C1_central_laminectomy_1,0.508,0.873
C1_central_laminectomy_1,0.508,0.872
C1_central_laminectomy_1,0.508,0.871
C1_central_laminectomy_1,0.507,0.871
C1_central_laminectomy_1,0.506,0.871
C1_central_laminectomy_1,0.494,0.871
C1_central_laminectomy_1,0.493,0.871
C1_central_laminectomy_1,0.492,0.871
C1_central_laminectomy_1,0.492,0.872
C1_central_laminectomy_1,0.492,0.873
C1_central_laminectomy_for_tumor_1,0.492,0.873
C1_central_laminectomy_for_tumor_1,0.492,0.889
C1_central_laminectomy_for_tumor_1,0.492,0.89
C1_central_laminectomy_for_tumor_1,0.492,0.891
C1_central_laminectomy_for_tumor_1,0.493,0.891
C1_central_laminectomy_for_tumor_1,0.494,0.891
C1_central_laminectomy_for_tumor_1,0.506,0.891
C1_central_laminectomy_for_tumor_1,0.507,0.891
C1_central_laminectomy_for_tumor_1,0.508,0.891
C1_central_laminectomy_for_tumor_1,0.508,0.89
C1_central_laminectomy_for_tumor_1,0.508,0.889
C1_central_laminectomy_for_tumor_1,0.508,0.873
C1_central_laminectomy_for_tumor_1,0.508,0.872
C1_central_laminectomy_for_tumor_1,0.508,0.871
C1_central_laminectomy_for_tumor_1,0.507,0.871
C1_central_laminectomy_for_tumor_1,0.506,0.871
C1_central_laminectomy_for_tumor_1,0.494,0.871
C1_central_laminectomy_for_tumor_1,0.493,0.871
C1_central_laminectomy_for_tumor_1,0.492,0.871
C1_central_laminectomy_for_tumor_1,0.492,0.872
C1_central_laminectomy_for_tumor_1,0.492,0.873
C1_central_structural_allograft_1,0.493,0.868
C1_central_structural_allograft_1,0.493,0.896
C1_central_structural_allograft_1,0.493,0.897
C1_central_structural_allograft_1,0.493,0.898
C1_central_structural_allograft_1,0.494,0.899
C1_central_structural_allograft_1,0.495,0.899
