level,vertebral_number,category,implant,side,x,y,length,width,angle,grade,left_x,superior_y,right_x,inferior_y
c2,3,implant,pedicle_screw,left,0.475,0.866,0.8,0.75,20,,,,,
c3,4,implant,pedicle_screw,left,0.475,0.848,0.8,0.75,10,,,,,
c4,5,implant,pedicle_screw,left,0.475,0.831,0.8,0.75,5,,,,,
c5,6,implant,pedicle_screw,left,0.475,0.813,0.8,0.75,0,,,,,
c6,7,implant,pedicle_screw,left,0.475,0.795,0.8,0.75,-5,,,,,
c7,8,implant,pedicle_screw,left,0.475,0.78,0.8,0.75,-10,,,,,
t1,9,implant,pedicle_screw,left,0.475,0.754,0.8,0.75,-14,,,,,
t2,10,implant,pedicle_screw,left,0.475,0.73,0.8,0.75,-15,,,,,
t3,11,implant,pedicle_screw,left,0.475,0.709,0.8,0.75,-14,,,,,
t4,12,implant,pedicle_screw,left,0.475,0.679,0.8,0.75,-12,,,,,
t5,13,implant,pedicle_screw,left,0.475,0.653,0.8,1,-10,,,,,
t6,14,implant,pedicle_screw,left,0.475,0.623,0.8,1,-8,,,,,
t7,15,implant,pedicle_screw,left,0.475,0.591,0.8,1,-6,,,,,
t8,16,implant,pedicle_screw,left,0.475,0.561,0.8,1,-4,,,,,
t9,17,implant,pedicle_screw,left,0.475,0.529,0.7,1,-2,,,,,
t10,18,implant,pedicle_screw,left,0.475,0.492,0.6,1,0,,,,,
t11,19,implant,pedicle_screw,left,0.475,0.453,0.5,1,5,,,,,
t12,20,implant,pedicle_screw,left,0.475,0.423,0.6,1,10,,,,,
l1,21,implant,pedicle_screw,left,0.4725,0.384,0.7,1,10,,,,,
l2,22,implant,pedicle_screw,left,0.47,0.352,0.8,1.25,5,,,,,
l3,23,implant,pedicle_screw,left,0.4675,0.311,0.9,1.25,0,,,,,
l4,24,implant,pedicle_screw,left,0.465,0.272,1,1.25,-10,,,,,
l5,25,implant,pedicle_screw,left,0.4625,0.235,1.2,1.5,-20,,,,,
s1,26,implant,pedicle_screw,left,0.46,0.204,1.5,1.5,-30,,,,,
iliac,27,implant,pelvic_screw,left,0.447,0.18,3,1.5,-150,,,,,
iliac,27,implant,pelvic_screw,left,0.441,0.199,3,1.5,-150,,,,,
s2ai,28,implant,pelvic_screw,left,0.466,0.166,3,1.5,-155,,,,,
s2ai,28,implant,pelvic_screw,left,0.467,0.158,3,1.5,-155,,,,,
c2,3,implant,pars_screw,left,0.481,0.863,0.5,0.75,70,,,,,
c1,2,implant,lateral_mass_screw,left,0.475,0.88,0.5,0.75,75,,,,,
c3,4,implant,lateral_mass_screw,left,0.481,0.847,0.5,0.75,120,,,,,
c4,5,implant,lateral_mass_screw,left,0.481,0.828,0.5,0.75,120,,,,,
c5,6,implant,lateral_mass_screw,left,0.481,0.81,0.5,0.75,120,,,,,
c6,7,implant,lateral_mass_screw,left,0.482,0.793,0.5,0.75,120,,,,,
c7,8,implant,lateral_mass_screw,left,0.482,0.775,0.5,0.75,120,,,,,
c1,2,implant,translaminar_screw,left,0.49,0.885,1,0.75,-15,,,,,
c2,3,implant,translaminar_screw,left,0.49,0.869,1,0.75,-15,,,,,
c3,4,implant,translaminar_screw,left,0.49,0.849,1,0.75,-15,,,,,
c4,5,implant,translaminar_screw,left,0.49,0.829,1,0.75,-15,,,,,
c5,6,implant,translaminar_screw,left,0.49,0.81,1,0.75,-15,,,,,
c6,7,implant,translaminar_screw,left,0.49,0.792,1,0.75,-15,,,,,
c7,8,implant,translaminar_screw,left,0.49,0.773,1,0.75,-15,,,,,
t1,9,implant,translaminar_screw,left,0.49,0.749,1,0.75,-15,,,,,
t2,10,implant,translaminar_screw,left,0.49,0.725,1,0.75,-15,,,,,
t3,11,implant,translaminar_screw,left,0.49,0.701,1,0.75,-15,,,,,
t4,12,implant,translaminar_screw,left,0.49,0.671,1,0.75,-15,,,,,
t5,13,implant,translaminar_screw,left,0.49,0.642,1,0.75,-15,,,,,
t6,14,implant,translaminar_screw,left,0.49,0.61,1,0.75,-15,,,,,
t7,15,implant,translaminar_screw,left,0.49,0.578,1,0.75,-15,,,,,
t8,16,implant,translaminar_screw,left,0.49,0.544,1,0.75,-15,,,,,
t9,17,implant,translaminar_screw,left,0.49,0.511,1,0.75,-15,,,,,
t10,18,implant,translaminar_screw,left,0.49,0.48,1,0.75,-15,,,,,
t11,19,implant,translaminar_screw,left,0.49,0.445,1,0.75,-15,,,,,
t12,20,implant,translaminar_screw,left,0.49,0.407,1,0.75,-15,,,,,
l1,21,implant,translaminar_screw,left,0.49,0.372,1,0.75,-15,,,,,
l2,22,implant,translaminar_screw,left,0.49,0.335,1,0.75,-15,,,,,
l3,23,implant,translaminar_screw,left,0.49,0.298,1,0.75,-15,,,,,
l4,24,implant,translaminar_screw,left,0.49,0.26,1,0.75,-15,,,,,
l5,25,implant,translaminar_screw,left,0.49,0.224,1,0.75,-15,,,,,
c1,2,implant,laminar_downgoing_hook,left,0.489,0.89,,,,,,,,
c2,3,implant,laminar_downgoing_hook,left,0.489,0.874,,,,,,,,
c3,4,implant,laminar_downgoing_hook,left,0.489,0.853,,,,,,,,
c4,5,implant,laminar_downgoing_hook,left,0.489,0.836,,,,,,,,
c5,6,implant,laminar_downgoing_hook,left,0.489,0.818,,,,,,,,
c6,7,implant,laminar_downgoing_hook,left,0.489,0.8,,,,,,,,
c7,8,implant,laminar_downgoing_hook,left,0.489,0.783,,,,,,,,
t1,9,implant,laminar_downgoing_hook,left,0.489,0.757,,,,,,,,
t2,10,implant,laminar_downgoing_hook,left,0.489,0.735,,,,,,,,
t3,11,implant,laminar_downgoing_hook,left,0.489,0.711,,,,,,,,
t4,12,implant,laminar_downgoing_hook,left,0.489,0.683,,,,,,,,
t5,13,implant,laminar_downgoing_hook,left,0.489,0.655,,,,,,,,
t6,14,implant,laminar_downgoing_hook,left,0.489,0.625,,,,,,,,
t7,15,implant,laminar_downgoing_hook,left,0.489,0.591,,,,,,,,
t8,16,implant,laminar_downgoing_hook,left,0.489,0.561,,,,,,,,
t9,17,implant,laminar_downgoing_hook,left,0.489,0.527,,,,,,,,
t10,18,implant,laminar_downgoing_hook,left,0.489,0.491,,,,,,,,
t11,19,implant,laminar_downgoing_hook,left,0.489,0.46,,,,,,,,
t12,20,implant,laminar_downgoing_hook,left,0.489,0.42,,,,,,,,
l1,21,implant,laminar_downgoing_hook,left,0.489,0.38,,,,,,,,
l2,22,implant,laminar_downgoing_hook,left,0.489,0.348,,,,,,,,
l3,23,implant,laminar_downgoing_hook,left,0.489,0.31,,,,,,,,
l4,24,implant,laminar_downgoing_hook,left,0.489,0.27,,,,,,,,
l5,25,implant,laminar_downgoing_hook,left,0.489,0.235,,,,,,,,
c1,2,implant,laminar_upgoing_hook,left,0.489,0.877,,,,,,,,
c2,3,implant,laminar_upgoing_hook,left,0.489,0.858,,,,,,,,
c3,4,implant,laminar_upgoing_hook,left,0.489,0.839,,,,,,,,
c4,5,implant,laminar_upgoing_hook,left,0.489,0.82,,,,,,,,
c5,6,implant,laminar_upgoing_hook,left,0.489,0.803,,,,,,,,
c6,7,implant,laminar_upgoing_hook,left,0.489,0.785,,,,,,,,
c7,8,implant,laminar_upgoing_hook,left,0.489,0.759,,,,,,,,
t1,9,implant,laminar_upgoing_hook,left,0.489,0.733,,,,,,,,
t2,10,implant,laminar_upgoing_hook,left,0.489,0.709,,,,,,,,
t3,11,implant,laminar_upgoing_hook,left,0.489,0.683,,,,,,,,
t4,12,implant,laminar_upgoing_hook,left,0.489,0.654,,,,,,,,
t5,13,implant,laminar_upgoing_hook,left,0.489,0.625,,,,,,,,
t6,14,implant,laminar_upgoing_hook,left,0.489,0.591,,,,,,,,
t7,15,implant,laminar_upgoing_hook,left,0.489,0.562,,,,,,,,
t8,16,implant,laminar_upgoing_hook,left,0.489,0.526,,,,,,,,
t9,17,implant,laminar_upgoing_hook,left,0.489,0.494,,,,,,,,
t10,18,implant,laminar_upgoing_hook,left,0.489,0.461,,,,,,,,
t11,19,implant,laminar_upgoing_hook,left,0.489,0.421,,,,,,,,
t12,20,implant,laminar_upgoing_hook,left,0.489,0.382,,,,,,,,
l1,21,implant,laminar_upgoing_hook,left,0.489,0.348,,,,,,,,
l2,22,implant,laminar_upgoing_hook,left,0.489,0.313,,,,,,,,
l3,23,implant,laminar_upgoing_hook,left,0.489,0.28,,,,,,,,
l4,24,implant,laminar_upgoing_hook,left,0.489,0.243,,,,,,,,
l5,25,implant,laminar_upgoing_hook,left,0.489,0.21,,,,,,,,
t1,9,implant,tp_hook,left,0.476,0.762,,,,,,,,
t2,10,implant,tp_hook,left,0.476,0.74,,,,,,,,
