level,vertebral_number,implant,side,x,y,angle,length,width
c2,3,pedicle_screw,left,0.475,0.866,20,0.8,0.75
c3,4,pedicle_screw,left,0.475,0.848,10,0.8,0.75
c4,5,pedicle_screw,left,0.475,0.831,5,0.8,0.75
c5,6,pedicle_screw,left,0.475,0.813,0,0.8,0.75
c6,7,pedicle_screw,left,0.475,0.795,-5,0.8,0.75
c7,8,pedicle_screw,left,0.475,0.78,-10,0.8,0.75
t1,9,pedicle_screw,left,0.475,0.754,-14,0.8,0.75
t2,10,pedicle_screw,left,0.475,0.73,-15,0.8,0.75
t3,11,pedicle_screw,left,0.475,0.709,-14,0.8,0.75
t4,12,pedicle_screw,left,0.475,0.679,-12,0.8,0.75
t5,13,pedicle_screw,left,0.475,0.653,-10,0.8,1
t6,14,pedicle_screw,left,0.475,0.623,-8,0.8,1
t7,15,pedicle_screw,left,0.475,0.591,-6,0.8,1
t8,16,pedicle_screw,left,0.475,0.561,-4,0.8,1
t9,17,pedicle_screw,left,0.475,0.529,-2,0.7,1
t10,18,pedicle_screw,left,0.475,0.492,0,0.6,1
t11,19,pedicle_screw,left,0.475,0.453,5,0.5,1
t12,20,pedicle_screw,left,0.475,0.423,10,0.6,1
l1,21,pedicle_screw,left,0.4725,0.384,10,0.7,1
l2,22,pedicle_screw,left,0.47,0.352,5,0.8,1.25
l3,23,pedicle_screw,left,0.4675,0.311,0,0.9,1.25
l4,24,pedicle_screw,left,0.465,0.272,-10,1,1.25
l5,25,pedicle_screw,left,0.4625,0.23,-20,1.2,1.5
s1,26,pedicle_screw,left,0.46,0.204,-30,1.5,1.5
iliac,27,pelvic_screw,left,0.447,0.18,-150,3,1.5
iliac,27,pelvic_screw,left,0.441,0.199,-150,3,1.5
s2ai,28,pelvic_screw,left,0.466,0.166,-155,3,1.5
s2ai,28,pelvic_screw,left,0.467,0.158,-155,3,1.5
c2,3,pars_screw,left,0.481,0.863,70,0.5,0.75
c1,2,lateral_mass_screw,left,0.475,0.88,75,0.5,0.75
c3,4,lateral_mass_screw,left,0.481,0.847,120,0.5,0.75
c4,5,lateral_mass_screw,left,0.481,0.828,120,0.5,0.75
c5,6,lateral_mass_screw,left,0.481,0.81,120,0.5,0.75
c6,7,lateral_mass_screw,left,0.482,0.793,120,0.5,0.75
c7,8,lateral_mass_screw,left,0.482,0.775,120,0.5,0.75
c1,2,translaminar_screw,left,0.49,0.885,-15,1,0.75
c2,3,translaminar_screw,left,0.49,0.869,-15,1,0.75
c3,4,translaminar_screw,left,0.49,0.849,-15,1,0.75
c4,5,translaminar_screw,left,0.49,0.829,-15,1,0.75
c5,6,translaminar_screw,left,0.49,0.81,-15,1,0.75
c6,7,translaminar_screw,left,0.49,0.792,-15,1,0.75
c7,8,translaminar_screw,left,0.49,0.773,-15,1,0.75
t1,9,translaminar_screw,left,0.49,0.749,-15,1,0.75
t2,10,translaminar_screw,left,0.49,0.725,-15,1,0.75
t3,11,translaminar_screw,left,0.49,0.701,-15,1,0.75
t4,12,translaminar_screw,left,0.49,0.671,-15,1,0.75
t5,13,translaminar_screw,left,0.49,0.642,-15,1,0.75
t6,14,translaminar_screw,left,0.49,0.61,-15,1,0.75
t7,15,translaminar_screw,left,0.49,0.578,-15,1,0.75
t8,16,translaminar_screw,left,0.49,0.544,-15,1,0.75
t9,17,translaminar_screw,left,0.49,0.511,-15,1,0.75
t10,18,translaminar_screw,left,0.49,0.48,-15,1,0.75
t11,19,translaminar_screw,left,0.49,0.445,-15,1,0.75
t12,20,translaminar_screw,left,0.49,0.407,-15,1,0.75
l1,21,translaminar_screw,left,0.49,0.372,-15,1,0.75
l2,22,translaminar_screw,left,0.49,0.335,-15,1,0.75
l3,23,translaminar_screw,left,0.49,0.298,-15,1,0.75
l4,24,translaminar_screw,left,0.49,0.26,-15,1,0.75
l5,25,translaminar_screw,left,0.49,0.224,-15,1,0.75
c1,2,laminar_downgoing_hook,left,0.495,0.89,,,
c2,3,laminar_downgoing_hook,left,0.495,0.874,,,
