coordinate_type,side,x,y,level
inferior_lamina,left,0.487,0.879,c1
inferior_lamina,left,0.49,0.861,c2
inferior_lamina,left,0.493,0.842,c3
inferior_lamina,left,0.49,0.822,c4
inferior_lamina,left,0.491,0.804,c5
inferior_lamina,left,0.491,0.786,c6
inferior_lamina,left,0.494,0.763,c7
inferior_lamina,left,0.491,0.737,t1
inferior_lamina,left,0.489,0.713,t2
inferior_lamina,left,0.49,0.687,t3
inferior_lamina,left,0.488,0.658,t4
inferior_lamina,left,0.489,0.629,t5
inferior_lamina,left,0.488,0.595,t6
inferior_lamina,left,0.487,0.566,t7
inferior_lamina,left,0.487,0.53,t8
inferior_lamina,left,0.489,0.498,t9
inferior_lamina,left,0.488,0.465,t10
inferior_lamina,left,0.491,0.425,t11
inferior_lamina,left,0.492,0.386,t12
inferior_lamina,left,0.49,0.352,l1
inferior_lamina,left,0.492,0.317,l2
inferior_lamina,left,0.491,0.284,l3
inferior_lamina,left,0.492,0.247,l4
inferior_lamina,left,0.487,0.214,l5
