coordinate_type,x,y,level,length_to_infer_lamina
lamina_center,0.5,0.885,c1,0.016
lamina_center,0.5,0.869,c2,0.02
lamina_center,0.5,0.849,c3,0.02
lamina_center,0.5,0.829,c4,0.019
lamina_center,0.5,0.81,c5,0.018
lamina_center,0.5,0.792,c6,0.019
lamina_center,0.5,0.773,c7,0.024
lamina_center,0.5,0.749,t1,0.024
lamina_center,0.5,0.725,t2,0.024
lamina_center,0.5,0.701,t3,0.03
lamina_center,0.5,0.671,t4,0.029
lamina_center,0.5,0.642,t5,0.032
lamina_center,0.5,0.61,t6,0.032
lamina_center,0.5,0.578,t7,0.034
lamina_center,0.5,0.544,t8,0.033
lamina_center,0.5,0.511,t9,0.031
lamina_center,0.5,0.48,t10,0.035
lamina_center,0.5,0.445,t11,0.038
lamina_center,0.5,0.407,t12,0.035
lamina_center,0.5,0.372,l1,0.037
lamina_center,0.5,0.335,l2,0.037
lamina_center,0.5,0.298,l3,0.038
lamina_center,0.5,0.26,l4,0.036
lamina_center,0.5,0.224,l5,0.04
lamina_center,0.5,0.184,s1,0.184
