level,width,superior_y,inferior_y
c1,0.02,0.889,0.879
c2,0.02,0.873,0.861
c3,0.02,0.853,0.842
c4,0.02,0.835,0.822
c5,0.02,0.816,0.804
c6,0.02,0.797,0.786
c7,0.02,0.779,0.763
t1,0.02,0.756,0.737
t2,0.02,0.732,0.713
t3,0.02,0.71,0.687
t4,0.02,0.682,0.658
t5,0.02,0.657,0.629
t6,0.02,0.624,0.595
t7,0.02,0.591,0.566
t8,0.02,0.561,0.53
t9,0.02,0.528,0.498
t10,0.02,0.496,0.465
t11,0.02,0.463,0.425
t12,0.02,0.425,0.386
l1,0.02,0.383,0.352
l2,0.02,0.349,0.317
l3,0.02,0.31,0.28
l4,0.02,0.274,0.245
l5,0.02,0.238,0.21
