level,implant,side,x,y,angle,length,width
s2ai,pelvic_screw,left,0.466,0.166,-155,3,1.5
s2ai,pelvic_screw,left,0.467,0.158,-155,3,1.5
iliac,pelvic_screw,left,0.447,0.18,-150,3,1.5
iliac,pelvic_screw,left,0.441,0.199,-150,3,1.5
s1,pedicle_screw,left,0.46,0.204,-30,1.5,1.5
l5,pedicle_screw,left,0.4625,0.23,-20,1.2,1.5
l4,pedicle_screw,left,0.465,0.272,-10,1,1.25
l3,pedicle_screw,left,0.4675,0.311,0,0.9,1.25
l2,pedicle_screw,left,0.47,0.352,5,0.8,1.25
l1,pedicle_screw,left,0.4725,0.384,10,0.7,1
t12,pedicle_screw,left,0.475,0.423,10,0.6,1
t11,pedicle_screw,left,0.475,0.453,5,0.5,1
t10,pedicle_screw,left,0.475,0.492,0,0.6,1
t9,pedicle_screw,left,0.475,0.529,-2,0.7,1
t8,pedicle_screw,left,0.475,0.561,-4,0.8,1
t7,pedicle_screw,left,0.475,0.591,-6,0.8,1
t6,pedicle_screw,left,0.475,0.623,-8,0.8,1
t5,pedicle_screw,left,0.475,0.653,-10,0.8,1
t4,pedicle_screw,left,0.475,0.679,-12,0.8,0.75
t3,pedicle_screw,left,0.475,0.709,-14,0.8,0.75
t2,pedicle_screw,left,0.475,0.73,-15,0.8,0.75
t1,pedicle_screw,left,0.475,0.754,-14,0.8,0.75
c7,pedicle_screw,left,0.475,0.78,-10,0.8,0.75
c6,pedicle_screw,left,0.475,0.795,-5,0.8,0.75
c5,pedicle_screw,left,0.475,0.813,0,0.8,0.75
c4,pedicle_screw,left,0.475,0.831,5,0.8,0.75
c3,pedicle_screw,left,0.475,0.848,10,0.8,0.75
c2,pedicle_screw,left,0.475,0.866,20,0.8,0.75
c7,lateral_mass_screw,left,0.482,0.775,120,0.5,0.75
c6,lateral_mass_screw,left,0.482,0.793,120,0.5,0.75
c5,lateral_mass_screw,left,0.481,0.81,120,0.5,0.75
c4,lateral_mass_screw,left,0.481,0.828,120,0.5,0.75
c3,lateral_mass_screw,left,0.481,0.847,120,0.5,0.75
c2,pars_screw,left,0.481,0.863,70,0.5,0.75
c1,lateral_mass_screw,left,0.475,0.88,75,0.5,0.75
l5,translaminar_screw,left,0.49,0.224,-15,1,0.75
l4,translaminar_screw,left,0.49,0.26,-15,1,0.75
l3,translaminar_screw,left,0.49,0.298,-15,1,0.75
l2,translaminar_screw,left,0.49,0.335,-15,1,0.75
l1,translaminar_screw,left,0.49,0.372,-15,1,0.75
t12,translaminar_screw,left,0.49,0.407,-15,1,0.75
t11,translaminar_screw,left,0.49,0.445,-15,1,0.75
t10,translaminar_screw,left,0.49,0.48,-15,1,0.75
t9,translaminar_screw,left,0.49,0.511,-15,1,0.75
t8,translaminar_screw,left,0.49,0.544,-15,1,0.75
t7,translaminar_screw,left,0.49,0.578,-15,1,0.75
t6,translaminar_screw,left,0.49,0.61,-15,1,0.75
t5,translaminar_screw,left,0.49,0.642,-15,1,0.75
t4,translaminar_screw,left,0.49,0.671,-15,1,0.75
t3,translaminar_screw,left,0.49,0.701,-15,1,0.75
t2,translaminar_screw,left,0.49,0.725,-15,1,0.75
t1,translaminar_screw,left,0.49,0.749,-15,1,0.75
c7,translaminar_screw,left,0.49,0.773,-15,1,0.75
c6,translaminar_screw,left,0.49,0.792,-15,1,0.75
c5,translaminar_screw,left,0.49,0.81,-15,1,0.75
c4,translaminar_screw,left,0.49,0.829,-15,1,0.75
c3,translaminar_screw,left,0.49,0.849,-15,1,0.75
c2,translaminar_screw,left,0.49,0.869,-15,1,0.75
c1,translaminar_screw,left,0.49,0.885,-15,1,0.75
s2ai,pelvic_screw,right,0.534,0.166,-155,3,1.5
s2ai,pelvic_screw,right,0.533,0.158,-155,3,1.5
iliac,pelvic_screw,right,0.553,0.18,-150,3,1.5
iliac,pelvic_screw,right,0.559,0.199,-150,3,1.5
s1,pedicle_screw,right,0.54,0.204,-30,1.5,1.5
l5,pedicle_screw,right,0.5375,0.23,-20,1.2,1.5
l4,pedicle_screw,right,0.535,0.272,-10,1,1.25
l3,pedicle_screw,right,0.5325,0.311,0,0.9,1.25
l2,pedicle_screw,right,0.53,0.352,5,0.8,1.25
l1,pedicle_screw,right,0.5275,0.384,10,0.7,1
t12,pedicle_screw,right,0.525,0.423,10,0.6,1
t11,pedicle_screw,right,0.525,0.453,5,0.5,1
t10,pedicle_screw,right,0.525,0.492,0,0.6,1
t9,pedicle_screw,right,0.525,0.529,-2,0.7,1
t8,pedicle_screw,right,0.525,0.561,-4,0.8,1
t7,pedicle_screw,right,0.525,0.591,-6,0.8,1
t6,pedicle_screw,right,0.525,0.623,-8,0.8,1
t5,pedicle_screw,right,0.525,0.653,-10,0.8,1
t4,pedicle_screw,right,0.525,0.679,-12,0.8,0.75
t3,pedicle_screw,right,0.525,0.709,-14,0.8,0.75
t2,pedicle_screw,right,0.525,0.73,-15,0.8,0.75
t1,pedicle_screw,right,0.525,0.754,-14,0.8,0.75
c7,pedicle_screw,right,0.525,0.78,-10,0.8,0.75
c6,pedicle_screw,right,0.525,0.795,-5,0.8,0.75
c5,pedicle_screw,right,0.525,0.813,0,0.8,0.75
c4,pedicle_screw,right,0.525,0.831,5,0.8,0.75
c3,pedicle_screw,right,0.525,0.848,10,0.8,0.75
c2,pedicle_screw,right,0.525,0.866,20,0.8,0.75
c7,lateral_mass_screw,right,0.518,0.775,120,0.5,0.75
c6,lateral_mass_screw,right,0.518,0.793,120,0.5,0.75
c5,lateral_mass_screw,right,0.519,0.81,120,0.5,0.75
c4,lateral_mass_screw,right,0.519,0.828,120,0.5,0.75
c3,lateral_mass_screw,right,0.519,0.847,120,0.5,0.75
c2,pars_screw,right,0.519,0.863,70,0.5,0.75
c1,lateral_mass_screw,right,0.525,0.88,75,0.5,0.75
l5,translaminar_screw,right,0.51,0.224,-15,1,0.75
l4,translaminar_screw,right,0.51,0.26,-15,1,0.75
l3,translaminar_screw,right,0.51,0.298,-15,1,0.75
l2,translaminar_screw,right,0.51,0.335,-15,1,0.75
l1,translaminar_screw,right,0.51,0.372,-15,1,0.75
t12,translaminar_screw,right,0.51,0.407,-15,1,0.75
t11,translaminar_screw,right,0.51,0.445,-15,1,0.75
t10,translaminar_screw,right,0.51,0.48,-15,1,0.75
t9,translaminar_screw,right,0.51,0.511,-15,1,0.75
t8,translaminar_screw,right,0.51,0.544,-15,1,0.75
t7,translaminar_screw,right,0.51,0.578,-15,1,0.75
t6,translaminar_screw,right,0.51,0.61,-15,1,0.75
t5,translaminar_screw,right,0.51,0.642,-15,1,0.75
t4,translaminar_screw,right,0.51,0.671,-15,1,0.75
t3,translaminar_screw,right,0.51,0.701,-15,1,0.75
t2,translaminar_screw,right,0.51,0.725,-15,1,0.75
t1,translaminar_screw,right,0.51,0.749,-15,1,0.75
c7,translaminar_screw,right,0.51,0.773,-15,1,0.75
c6,translaminar_screw,right,0.51,0.792,-15,1,0.75
c5,translaminar_screw,right,0.51,0.81,-15,1,0.75
c4,translaminar_screw,right,0.51,0.829,-15,1,0.75
c3,translaminar_screw,right,0.51,0.849,-15,1,0.75
c2,translaminar_screw,right,0.51,0.869,-15,1,0.75
c1,translaminar_screw,right,0.51,0.885,-15,1,0.75
l5,tp_hook,left,0.46,0.238,,,
l4,tp_hook,left,0.462,0.278,,,
l3,tp_hook,left,0.464,0.318,,,
l2,tp_hook,left,0.466,0.36,,,
l1,tp_hook,left,0.468,0.39,,,
t12,tp_hook,left,0.47,0.43,,,
t11,tp_hook,left,0.47,0.46,,,
t10,tp_hook,left,0.47,0.496,,,
t9,tp_hook,left,0.47,0.532,,,
t8,tp_hook,left,0.47,0.566,,,
t7,tp_hook,left,0.47,0.596,,,
t6,tp_hook,left,0.47,0.63,,,
t5,tp_hook,left,0.47,0.66,,,
t4,tp_hook,left,0.47,0.688,,,
t3,tp_hook,left,0.47,0.716,,,
t2,tp_hook,left,0.47,0.74,,,
t1,tp_hook,left,0.47,0.762,,,
l5,tp_hook,right,0.54,0.238,,,
l4,tp_hook,right,0.538,0.278,,,
l3,tp_hook,right,0.536,0.318,,,
l2,tp_hook,right,0.534,0.36,,,
l1,tp_hook,right,0.532,0.39,,,
t12,tp_hook,right,0.53,0.43,,,
t11,tp_hook,right,0.53,0.46,,,
t10,tp_hook,right,0.53,0.496,,,
t9,tp_hook,right,0.53,0.532,,,
t8,tp_hook,right,0.53,0.566,,,
t7,tp_hook,right,0.53,0.596,,,
t6,tp_hook,right,0.53,0.63,,,
t5,tp_hook,right,0.53,0.66,,,
t4,tp_hook,right,0.53,0.688,,,
t3,tp_hook,right,0.53,0.716,,,
t2,tp_hook,right,0.53,0.74,,,
t1,tp_hook,right,0.53,0.762,,,
l5,laminar_downgoing_hook,left,0.495,0.235,,,
l4,laminar_downgoing_hook,left,0.495,0.27,,,
l3,laminar_downgoing_hook,left,0.495,0.31,,,
l2,laminar_downgoing_hook,left,0.495,0.348,,,
l1,laminar_downgoing_hook,left,0.495,0.38,,,
t12,laminar_downgoing_hook,left,0.495,0.42,,,
t11,laminar_downgoing_hook,left,0.495,0.46,,,
t10,laminar_downgoing_hook,left,0.495,0.491,,,
t9,laminar_downgoing_hook,left,0.495,0.527,,,
t8,laminar_downgoing_hook,left,0.495,0.561,,,
t7,laminar_downgoing_hook,left,0.495,0.591,,,
t6,laminar_downgoing_hook,left,0.495,0.625,,,
t5,laminar_downgoing_hook,left,0.495,0.655,,,
t4,laminar_downgoing_hook,left,0.495,0.683,,,
t3,laminar_downgoing_hook,left,0.495,0.711,,,
t2,laminar_downgoing_hook,left,0.495,0.735,,,
t1,laminar_downgoing_hook,left,0.495,0.757,,,
c7,laminar_downgoing_hook,left,0.495,0.783,,,
c6,laminar_downgoing_hook,left,0.495,0.8,,,
c5,laminar_downgoing_hook,left,0.495,0.818,,,
c4,laminar_downgoing_hook,left,0.495,0.836,,,
c3,laminar_downgoing_hook,left,0.495,0.853,,,
c2,laminar_downgoing_hook,left,0.495,0.874,,,
c1,laminar_downgoing_hook,left,0.495,0.89,,,
l5,laminar_downgoing_hook,right,0.505,0.235,,,
l4,laminar_downgoing_hook,right,0.505,0.27,,,
l3,laminar_downgoing_hook,right,0.505,0.31,,,
l2,laminar_downgoing_hook,right,0.505,0.348,,,
l1,laminar_downgoing_hook,right,0.505,0.38,,,
t12,laminar_downgoing_hook,right,0.505,0.42,,,
t11,laminar_downgoing_hook,right,0.505,0.46,,,
t10,laminar_downgoing_hook,right,0.505,0.491,,,
t9,laminar_downgoing_hook,right,0.505,0.527,,,
t8,laminar_downgoing_hook,right,0.505,0.561,,,
t7,laminar_downgoing_hook,right,0.505,0.591,,,
t6,laminar_downgoing_hook,right,0.505,0.625,,,
t5,laminar_downgoing_hook,right,0.505,0.655,,,
t4,laminar_downgoing_hook,right,0.505,0.683,,,
t3,laminar_downgoing_hook,right,0.505,0.711,,,
t2,laminar_downgoing_hook,right,0.505,0.735,,,
t1,laminar_downgoing_hook,right,0.505,0.757,,,
c7,laminar_downgoing_hook,right,0.505,0.783,,,
c6,laminar_downgoing_hook,right,0.505,0.8,,,
c5,laminar_downgoing_hook,right,0.505,0.818,,,
c4,laminar_downgoing_hook,right,0.505,0.836,,,
c3,laminar_downgoing_hook,right,0.505,0.853,,,
c2,laminar_downgoing_hook,right,0.505,0.874,,,
c1,laminar_downgoing_hook,right,0.505,0.89,,,
l5,laminar_upgoing_hook,left,0.495,0.21,,,
l4,laminar_upgoing_hook,left,0.495,0.243,,,
l3,laminar_upgoing_hook,left,0.495,0.28,,,
l2,laminar_upgoing_hook,left,0.495,0.313,,,
l1,laminar_upgoing_hook,left,0.495,0.348,,,
t12,laminar_upgoing_hook,left,0.495,0.382,,,
t11,laminar_upgoing_hook,left,0.495,0.421,,,
t10,laminar_upgoing_hook,left,0.495,0.461,,,
t9,laminar_upgoing_hook,left,0.495,0.494,,,
t8,laminar_upgoing_hook,left,0.495,0.526,,,
t7,laminar_upgoing_hook,left,0.495,0.562,,,
t6,laminar_upgoing_hook,left,0.495,0.591,,,
t5,laminar_upgoing_hook,left,0.495,0.625,,,
t4,laminar_upgoing_hook,left,0.495,0.654,,,
t3,laminar_upgoing_hook,left,0.495,0.683,,,
t2,laminar_upgoing_hook,left,0.495,0.709,,,
t1,laminar_upgoing_hook,left,0.495,0.733,,,
c7,laminar_upgoing_hook,left,0.495,0.759,,,
c6,laminar_upgoing_hook,left,0.495,0.785,,,
c5,laminar_upgoing_hook,left,0.495,0.803,,,
c4,laminar_upgoing_hook,left,0.495,0.82,,,
c3,laminar_upgoing_hook,left,0.495,0.839,,,
c2,laminar_upgoing_hook,left,0.495,0.858,,,
c1,laminar_upgoing_hook,left,0.495,0.877,,,
l5,laminar_upgoing_hook,right,0.505,0.21,,,
l4,laminar_upgoing_hook,right,0.505,0.243,,,
l3,laminar_upgoing_hook,right,0.505,0.28,,,
l2,laminar_upgoing_hook,right,0.505,0.313,,,
l1,laminar_upgoing_hook,right,0.505,0.348,,,
t12,laminar_upgoing_hook,right,0.505,0.382,,,
t11,laminar_upgoing_hook,right,0.505,0.421,,,
t10,laminar_upgoing_hook,right,0.505,0.461,,,
t9,laminar_upgoing_hook,right,0.505,0.494,,,
t8,laminar_upgoing_hook,right,0.505,0.526,,,
t7,laminar_upgoing_hook,right,0.505,0.562,,,
