coordinate_type,side,x,y,level,number
superior_lamina,left,0.49,0.889,c1,25
superior_lamina,left,0.49,0.873,c2,24
superior_lamina,left,0.49,0.853,c3,23
superior_lamina,left,0.492,0.835,c4,22
superior_lamina,left,0.492,0.816,c5,21
superior_lamina,left,0.493,0.797,c6,20
superior_lamina,left,0.494,0.779,c7,19
superior_lamina,left,0.493,0.756,t1,18
superior_lamina,left,0.494,0.732,t2,17
superior_lamina,left,0.495,0.71,t3,16
superior_lamina,left,0.494,0.682,t4,15
superior_lamina,left,0.493,0.657,t5,14
superior_lamina,left,0.492,0.624,t6,13
superior_lamina,left,0.491,0.591,t7,12
superior_lamina,left,0.492,0.561,t8,11
superior_lamina,left,0.489,0.528,t9,10
superior_lamina,left,0.489,0.496,t10,9
superior_lamina,left,0.489,0.463,t11,8
superior_lamina,left,0.491,0.425,t12,7
superior_lamina,left,0.493,0.383,l1,6
superior_lamina,left,0.493,0.349,l2,5
superior_lamina,left,0.493,0.315,l3,4
superior_lamina,left,0.492,0.274,l4,3
superior_lamina,left,0.492,0.238,l5,2
superior_lamina,left,0.486,0.198,s1,1
