level,implant,side,x,y
l5,tp_hook,left,0.463,0.238
l4,tp_hook,left,0.463,0.274
l3,tp_hook,left,0.467,0.315
l2,tp_hook,left,0.468,0.349
l1,tp_hook,left,0.47,0.383
t12,tp_hook,left,0.468,0.425
t11,tp_hook,left,0.471,0.463
t10,tp_hook,left,0.471,0.496
t9,tp_hook,left,0.47,0.528
t8,tp_hook,left,0.471,0.561
t7,tp_hook,left,0.471,0.591
t6,tp_hook,left,0.471,0.624
t5,tp_hook,left,0.471,0.657
t4,tp_hook,left,0.472,0.682
t3,tp_hook,left,0.472,0.71
t2,tp_hook,left,0.471,0.732
t1,tp_hook,left,0.47,0.756
l5,tp_hook,right,0.537,0.238
l4,tp_hook,right,0.537,0.274
l3,tp_hook,right,0.533,0.315
l2,tp_hook,right,0.532,0.349
l1,tp_hook,right,0.53,0.383
t12,tp_hook,right,0.532,0.425
t11,tp_hook,right,0.529,0.463
t10,tp_hook,right,0.529,0.496
t9,tp_hook,right,0.53,0.528
t8,tp_hook,right,0.529,0.561
t7,tp_hook,right,0.529,0.591
t6,tp_hook,right,0.529,0.624
t5,tp_hook,right,0.529,0.657
t4,tp_hook,right,0.528,0.682
t3,tp_hook,right,0.528,0.71
t2,tp_hook,right,0.529,0.732
t1,tp_hook,right,0.53,0.756
