level,vertebral_number,approach,category,object,side,x,y,length,width,angle,left_x,superior_y,right_x,inferior_y,superior_vert_lateral_pars_x,lateral_tp_x,lateral_pars_x,superior_vert_inferior_pedicle_y,superior_lamina_y,inferior_lamina_y,inferior_pedicle_y,body_center_y,superior_tp_y,inferior_tp_y,inferior_facet_lateral_border_x,inferior_facet_superior_border_y,inferior_facet_inferior_border_y,inferior_facet_medial_border_x,inferior_endplate_y,superior_endplate_y,superior_enplate_inferior_body_y,inferior_endplate_superior_body_y
L5,24,anterior,anterior_body,corpectomy,central,0.5,0.1865,,0.032,,,,,,,,,,,,,,,,,,,,0.168,0.205,0.16,0.215
L4,23,anterior,anterior_body,corpectomy,central,0.5,0.235,,0.03,,,,,,,,,,,,,,,,,,,,0.215,0.255,0.205,0.263
L3,22,anterior,anterior_body,corpectomy,central,0.5,0.284,,0.03,,,,,,,,,,,,,,,,,,,,0.263,0.305,0.255,0.317
L2,21,anterior,anterior_body,corpectomy,central,0.5,0.337,,0.029,,,,,,,,,,,,,,,,,,,,0.317,0.357,0.305,0.367
L1,20,anterior,anterior_body,corpectomy,central,0.5,0.3865,,0.028,,,,,,,,,,,,,,,,,,,,0.367,0.406,0.357,0.415
T12,19,anterior,anterior_body,corpectomy,central,0.5,0.4325,,0.027,,,,,,,,,,,,,,,,,,,,0.415,0.45,0.406,0.457
T11,18,anterior,anterior_body,corpectomy,central,0.5,0.4735,,0.025,,,,,,,,,,,,,,,,,,,,0.457,0.49,0.45,0.495
T10,17,anterior,anterior_body,corpectomy,central,0.5,0.51,,0.023,,,,,,,,,,,,,,,,,,,,0.495,0.525,0.49,0.53
T9,16,anterior,anterior_body,corpectomy,central,0.5,0.5425,,0.02,,,,,,,,,,,,,,,,,,,,0.53,0.555,0.525,0.56
T8,15,anterior,anterior_body,corpectomy,central,0.5,0.572,,0.018,,,,,,,,,,,,,,,,,,,,0.56,0.584,0.555,0.591
T7,14,anterior,anterior_body,corpectomy,central,0.5,0.602,,0.018,,,,,,,,,,,,,,,,,,,,0.591,0.613,0.584,0.62
T6,13,anterior,anterior_body,corpectomy,central,0.5,0.6325,,0.018,,,,,,,,,,,,,,,,,,,,0.62,0.645,0.613,0.65
T5,12,anterior,anterior_body,corpectomy,central,0.5,0.6625,,0.018,,,,,,,,,,,,,,,,,,,,0.65,0.675,0.645,0.682
T4,11,anterior,anterior_body,corpectomy,central,0.5,0.6935,,0.018,,,,,,,,,,,,,,,,,,,,0.682,0.705,0.675,0.712
T3,10,anterior,anterior_body,corpectomy,central,0.5,0.722,,0.018,,,,,,,,,,,,,,,,,,,,0.712,0.732,0.705,0.74
T2,9,anterior,anterior_body,corpectomy,central,0.5,0.75,,0.017,,,,,,,,,,,,,,,,,,,,0.74,0.76,0.732,0.77
T1,8,anterior,anterior_body,corpectomy,central,0.5,0.78,,0.016,,,,,,,,,,,,,,,,,,,,0.77,0.79,0.76,0.795
C7,7,anterior,anterior_body,corpectomy,central,0.5,0.805,,0.015,,,,,,,,,,,,,,,,,,,,0.795,0.815,0.79,0.821
C6,6,anterior,anterior_body,corpectomy,central,0.5,0.8295,,0.015,,,,,,,,,,,,,,,,,,,,0.821,0.838,0.815,0.846
C5,5,anterior,anterior_body,corpectomy,central,0.5,0.8555,,0.015,,,,,,,,,,,,,,,,,,,,0.846,0.865,0.838,0.87
C4,4,anterior,anterior_body,corpectomy,central,0.5,0.879,,0.015,,,,,,,,,,,,,,,,,,,,0.87,0.888,0.865,0.897
C3,3,anterior,anterior_body,corpectomy,central,0.5,0.9075,,0.015,,,,,,,,,,,,,,,,,,,,0.897,0.918,0.888,0.925
C2,2,anterior,anterior_body,corpectomy,central,0.5,0.94,,0.015,,,,,,,,,,,,,,,,,,,,0.925,0.955,0.918,0.965
C1,1,anterior,anterior_body,corpectomy,central,0.5,0.975,,0.015,,,,,,,,,,,,,,,,,,,,0.965,0.985,0.955,0.96
L5,24,anterior,anterior_body,corpectomy_cage,central,0.5,0.1865,,0.032,,,,,,,,,,,,,,,,,,,,0.168,0.205,0.16,0.215
L4,23,anterior,anterior_body,corpectomy_cage,central,0.5,0.235,,0.03,,,,,,,,,,,,,,,,,,,,0.215,0.255,0.205,0.263
L3,22,anterior,anterior_body,corpectomy_cage,central,0.5,0.284,,0.03,,,,,,,,,,,,,,,,,,,,0.263,0.305,0.255,0.317
L2,21,anterior,anterior_body,corpectomy_cage,central,0.5,0.337,,0.029,,,,,,,,,,,,,,,,,,,,0.317,0.357,0.305,0.367
L1,20,anterior,anterior_body,corpectomy_cage,central,0.5,0.3865,,0.028,,,,,,,,,,,,,,,,,,,,0.367,0.406,0.357,0.415
T12,19,anterior,anterior_body,corpectomy_cage,central,0.5,0.4325,,0.027,,,,,,,,,,,,,,,,,,,,0.415,0.45,0.406,0.457
T11,18,anterior,anterior_body,corpectomy_cage,central,0.5,0.4735,,0.025,,,,,,,,,,,,,,,,,,,,0.457,0.49,0.45,0.495
T10,17,anterior,anterior_body,corpectomy_cage,central,0.5,0.51,,0.023,,,,,,,,,,,,,,,,,,,,0.495,0.525,0.49,0.53
T9,16,anterior,anterior_body,corpectomy_cage,central,0.5,0.5425,,0.02,,,,,,,,,,,,,,,,,,,,0.53,0.555,0.525,0.56
T8,15,anterior,anterior_body,corpectomy_cage,central,0.5,0.572,,0.018,,,,,,,,,,,,,,,,,,,,0.56,0.584,0.555,0.591
T7,14,anterior,anterior_body,corpectomy_cage,central,0.5,0.602,,0.018,,,,,,,,,,,,,,,,,,,,0.591,0.613,0.584,0.62
