level,vertebral_number,category,implant,side,x,y,length,width,angle,grade,left_x,superior_y,right_x,inferior_y,superior_vert_inferior_pedicle_x,superior_vert_inferior_pedicle_y,superior_lamina_y,superior_lateral_tp_x,inferior_lamina_y,inferior_pedicle_x,inferior_pedicle_y
Occiput,1,implant,occipital_screw,left,0.499,0.905,0.5,0.75,90,,,,,,,,,,,,
Occiput,1,implant,occipital_screw,right,0.501,0.915,0.5,0.75,90,,,,,,,,,,,,
C1,2,implant,lateral_mass_screw,left,0.475,0.88,0.5,0.75,75,,,,,,,,,,,,
C1,2,implant,translaminar_screw,left,0.49,0.885,1,0.75,-15,,,,,,,,,,,,
C1,2,implant,laminar_downgoing_hook,left,0.489,0.89,,,,,,,,,,,,,,,
C1,2,implant,laminar_upgoing_hook,left,0.489,0.877,,,,,,,,,,,,,,,
C1,2,implant,lateral_mass_screw,right,0.525,0.88,0.5,0.75,75,,,,,,,,,,,,
C1,2,implant,translaminar_screw,right,0.51,0.885,1,0.75,-15,,,,,,,,,,,,
C1,2,implant,laminar_downgoing_hook,right,0.511,0.89,,,,,,,,,,,,,,,
C1,2,implant,laminar_upgoing_hook,right,0.511,0.877,,,,,,,,,,,,,,,
C1,2,implant,tether,right,0.5,0.885,0.017,,,,,,,,,,,,,,
C1,2,implant,sublaminar_wire,right,0.515,0.889,0.01,,,,,,,,,,,,,,
C1,2,implant,sublaminar_wire,left,0.485,0.889,0.01,,,,,,,,,,,,,,
C2,3,implant,pedicle_screw,left,0.475,0.866,0.8,0.75,20,,,,,,0.475,0.888,0.874,0.465,0.862,0.475,0.865
C2,3,implant,pars_screw,left,0.481,0.863,0.5,0.75,70,,,,,,0.475,0.888,0.874,0.465,0.862,0.475,0.865
C2,3,implant,translaminar_screw,left,0.49,0.869,1,0.75,-15,,,,,,0.475,0.888,0.874,0.465,0.862,0.475,0.865
C2,3,implant,laminar_downgoing_hook,left,0.489,0.874,,,,,,,,,0.475,0.888,0.874,0.465,0.862,0.475,0.865
C2,3,implant,laminar_upgoing_hook,left,0.489,0.858,,,,,,,,,0.475,0.888,0.874,0.465,0.862,0.475,0.865
C2,3,implant,pedicle_screw,right,0.525,0.866,0.8,0.75,20,,,,,,0.475,0.888,0.874,0.465,0.862,0.475,0.865
C2,3,implant,pars_screw,right,0.519,0.863,0.5,0.75,70,,,,,,0.475,0.888,0.874,0.465,0.862,0.475,0.865
C2,3,implant,translaminar_screw,right,0.51,0.869,1,0.75,-15,,,,,,0.475,0.888,0.874,0.465,0.862,0.475,0.865
C2,3,implant,laminar_downgoing_hook,right,0.511,0.874,,,,,,,,,0.475,0.888,0.874,0.465,0.862,0.475,0.865
C2,3,implant,laminar_upgoing_hook,right,0.511,0.858,,,,,,,,,0.475,0.888,0.874,0.465,0.862,0.475,0.865
C2,3,implant,tether,right,0.5,0.868,0.021,,,,,,,,0.475,0.888,0.874,0.465,0.862,0.475,0.865
C2,3,implant,sublaminar_wire,right,0.515,0.873,0.012,,,,,,,,0.475,0.888,0.874,0.465,0.862,0.475,0.865
