level,side,grade,lateral_x,superior_y,medial_x,inferior_y
c7,left,Grade 1,0.478,0.767,0.492,0.76
t1,left,Grade 1,0.481,0.746,0.493,0.738
t2,left,Grade 1,0.481,0.72,0.494,0.714
t3,left,Grade 1,0.481,0.695,0.494,0.689
t4,left,Grade 1,0.481,0.668,0.493,0.658
t5,left,Grade 1,0.481,0.64,0.492,0.628
t6,left,Grade 1,0.48,0.606,0.492,0.595
t7,left,Grade 1,0.479,0.577,0.491,0.566
t8,left,Grade 1,0.476,0.544,0.492,0.529
t9,left,Grade 1,0.477,0.508,0.49,0.498
t10,left,Grade 1,0.478,0.476,0.492,0.465
t11,left,Grade 1,0.478,0.438,0.491,0.425
t12,left,Grade 1,0.483,0.4,0.492,0.385
l1,left,Grade 1,0.483,0.367,0.491,0.352
l2,left,Grade 1,0.478,0.33,0.489,0.314
l3,left,Grade 1,0.474,0.291,0.486,0.278
l4,left,Grade 1,0.476,0.252,0.487,0.241
l5,left,Grade 1,0.469,0.224,0.48,0.209
c7,right,Grade 1,0.522,0.767,0.508,0.76
t1,right,Grade 1,0.519,0.746,0.507,0.738
t2,right,Grade 1,0.519,0.72,0.506,0.714
t3,right,Grade 1,0.519,0.695,0.506,0.689
t4,right,Grade 1,0.519,0.668,0.507,0.658
t5,right,Grade 1,0.519,0.64,0.508,0.628
t6,right,Grade 1,0.52,0.606,0.508,0.595
t7,right,Grade 1,0.521,0.577,0.509,0.566
t8,right,Grade 1,0.524,0.544,0.508,0.529
t9,right,Grade 1,0.523,0.508,0.51,0.498
t10,right,Grade 1,0.522,0.476,0.508,0.465
t11,right,Grade 1,0.522,0.438,0.509,0.425
t12,right,Grade 1,0.517,0.4,0.508,0.385
l1,right,Grade 1,0.517,0.367,0.509,0.352
l2,right,Grade 1,0.522,0.33,0.511,0.314
l3,right,Grade 1,0.526,0.291,0.514,0.278
l4,right,Grade 1,0.524,0.252,0.513,0.241
l5,right,Grade 1,0.531,0.224,0.52,0.209
c7,left,Grade 2,0.478,0.767,0.492,0.76
t1,left,Grade 2,0.481,0.746,0.493,0.738
t2,left,Grade 2,0.481,0.72,0.494,0.714
t3,left,Grade 2,0.481,0.695,0.494,0.689
t4,left,Grade 2,0.481,0.668,0.493,0.658
t5,left,Grade 2,0.481,0.64,0.492,0.628
t6,left,Grade 2,0.48,0.606,0.492,0.595
t7,left,Grade 2,0.479,0.577,0.491,0.566
t8,left,Grade 2,0.476,0.544,0.492,0.529
t9,left,Grade 2,0.477,0.508,0.49,0.498
t10,left,Grade 2,0.478,0.476,0.492,0.465
t11,left,Grade 2,0.478,0.438,0.491,0.425
t12,left,Grade 2,0.483,0.4,0.492,0.385
l1,left,Grade 2,0.483,0.367,0.491,0.352
l2,left,Grade 2,0.478,0.33,0.489,0.314
l3,left,Grade 2,0.474,0.291,0.486,0.278
l4,left,Grade 2,0.476,0.252,0.487,0.241
l5,left,Grade 2,0.469,0.224,0.48,0.209
c7,left,Grade 3,0.478,0.79,0.492,0.775
t1,left,Grade 3,0.481,0.76,0.493,0.745
t2,left,Grade 3,0.481,0.738,0.494,0.723
t3,left,Grade 3,0.481,0.714,0.494,0.699
t4,left,Grade 3,0.48,0.689,0.493,0.674
t5,left,Grade 3,0.48,0.658,0.492,0.643
t6,left,Grade 3,0.48,0.628,0.492,0.613
t7,left,Grade 3,0.48,0.595,0.491,0.58
t8,left,Grade 3,0.48,0.566,0.492,0.551
t9,left,Grade 3,0.48,0.529,0.49,0.514
t10,left,Grade 3,0.48,0.498,0.492,0.483
t11,left,Grade 3,0.48,0.465,0.491,0.45
t12,left,Grade 3,0.48,0.425,0.492,0.41
l1,left,Grade 3,0.48,0.385,0.491,0.365
l2,left,Grade 3,0.476,0.352,0.489,0.332
l3,left,Grade 3,0.472,0.314,0.486,0.294
l4,left,Grade 3,0.468,0.278,0.487,0.258
l5,left,Grade 3,0.466,0.241,0.48,0.221
