level,vertebral_body_number,coordinate_type,side,x,y
c1,1,body_center,center,0.5,0.888
c2,2,body_center,center,0.5,0.865
c3,3,body_center,center,0.5,0.847
c4,4,body_center,center,0.5,0.828
c5,5,body_center,center,0.5,0.811
c6,6,body_center,center,0.5,0.793
c7,7,body_center,center,0.5,0.769
t1,8,body_center,center,0.5,0.747
t2,9,body_center,center,0.5,0.723
t3,10,body_center,center,0.5,0.701
t4,11,body_center,center,0.5,0.672
t5,12,body_center,center,0.5,0.643
t6,13,body_center,center,0.5,0.613
t7,14,body_center,center,0.5,0.583
t8,15,body_center,center,0.5,0.551
t9,16,body_center,center,0.5,0.52
t10,17,body_center,center,0.5,0.481
t11,18,body_center,center,0.5,0.447
t12,19,body_center,center,0.5,0.411
l1,20,body_center,center,0.5,0.375
l2,21,body_center,center,0.5,0.343
l3,22,body_center,center,0.5,0.301
l4,23,body_center,center,0.5,0.261
l5,24,body_center,center,0.5,0.228
s1,25,body_center,center,0.5,0.19
c1,1,superior_lamina,center,0.5,0.89
c2,2,superior_lamina,center,0.5,0.874
c3,3,superior_lamina,center,0.5,0.853
c4,4,superior_lamina,center,0.5,0.834
c5,5,superior_lamina,center,0.5,0.816
c6,6,superior_lamina,center,0.5,0.798
c7,7,superior_lamina,center,0.5,0.781
t1,8,superior_lamina,center,0.5,0.756
t2,9,superior_lamina,center,0.5,0.732
t3,10,superior_lamina,center,0.5,0.71
t4,11,superior_lamina,center,0.5,0.684
t5,12,superior_lamina,center,0.5,0.657
t6,13,superior_lamina,center,0.5,0.625
t7,14,superior_lamina,center,0.5,0.592
t8,15,superior_lamina,center,0.5,0.564
t9,16,superior_lamina,center,0.5,0.528
t10,17,superior_lamina,center,0.5,0.494
t11,18,superior_lamina,center,0.5,0.46
t12,19,superior_lamina,center,0.5,0.427
l1,20,superior_lamina,center,0.5,0.389
l2,21,superior_lamina,center,0.5,0.353
l3,22,superior_lamina,center,0.5,0.318
l4,23,superior_lamina,center,0.5,0.276
l5,24,superior_lamina,center,0.5,0.238
s1,25,superior_lamina,center,0.5,0.197
c1,1,inferior_lamina,center,0.5,0.878
c2,2,inferior_lamina,center,0.5,0.862
c3,3,inferior_lamina,center,0.5,0.842
c4,4,inferior_lamina,center,0.5,0.824
c5,5,inferior_lamina,center,0.5,0.805
c6,6,inferior_lamina,center,0.5,0.788
c7,7,inferior_lamina,center,0.5,0.766
t1,8,inferior_lamina,center,0.5,0.739
t2,9,inferior_lamina,center,0.5,0.716
t3,10,inferior_lamina,center,0.5,0.688
t4,11,inferior_lamina,center,0.5,0.66
t5,12,inferior_lamina,center,0.5,0.628
t6,13,inferior_lamina,center,0.5,0.596
t7,14,inferior_lamina,center,0.5,0.568
t8,15,inferior_lamina,center,0.5,0.532
t9,16,inferior_lamina,center,0.5,0.501
t10,17,inferior_lamina,center,0.5,0.467
t11,18,inferior_lamina,center,0.5,0.428
t12,19,inferior_lamina,center,0.5,0.393
l1,20,inferior_lamina,center,0.5,0.355
l2,21,inferior_lamina,center,0.5,0.32
l3,22,inferior_lamina,center,0.5,0.284
