coordinate_type,side,x,y,length
c1,right,0.5,0.885,0.017
c2,right,0.5,0.868,0.021
c3,right,0.5,0.847,0.02
c4,right,0.5,0.827,0.018
c5,right,0.5,0.809,0.017
c6,right,0.5,0.792,0.018
c7,right,0.5,0.774,0.026
t1,right,0.5,0.748,0.027
t2,right,0.5,0.721,0.031
t3,right,0.5,0.69,0.027
t4,right,0.5,0.663,0.036
t5,right,0.5,0.627,0.034
t6,left,0.5,0.593,0.033
t7,right,0.5,0.56,0.035
t8,right,0.5,0.525,0.027
t9,right,0.5,0.498,0.033
t10,right,0.5,0.465,0.035
t11,right,0.5,0.43,0.035
t12,right,0.5,0.395,0.033
l1,right,0.5,0.362,0.037
l2,right,0.5,0.325,0.037
l3,right,0.5,0.288,0.032
l4,right,0.5,0.256,0.036
l5,right,0.5,0.22,0.035
