level,body_interspace,vertebral_number,approach,superior_endplate_y,inferior_endplate_y,superior_endplate_inferior_body_y,inferior_endplate_superior_body_y,superior_vert_lateral_pars_x,lateral_tp_x,lateral_pars_x,superior_vert_inferior_pedicle_y,superior_lamina_y,inferior_lamina_y,inferior_pedicle_y,body_center_y,superior_tp_y,inferior_tp_y,inferior_facet_lateral_border_x,inferior_facet_superior_border_y,inferior_facet_inferior_border_y,inferior_facet_medial_border_x
C1,body,1,anterior,0.985,0.965,0.955,0.96,,,,,,,,,,,,,,
C2,body,2,anterior,0.955,0.925,0.918,0.965,,,,,,,,,,,,,,
C3,body,3,anterior,0.918,0.897,0.888,0.925,,,,,,,,,,,,,,
C4,body,4,anterior,0.888,0.87,0.865,0.897,,,,,,,,,,,,,,
C5,body,5,anterior,0.865,0.846,0.838,0.87,,,,,,,,,,,,,,
C6,body,6,anterior,0.838,0.821,0.815,0.846,,,,,,,,,,,,,,
C7,body,7,anterior,0.815,0.795,0.79,0.821,,,,,,,,,,,,,,
T1,body,8,anterior,0.79,0.77,0.76,0.795,,,,,,,,,,,,,,
T2,body,9,anterior,0.76,0.74,0.732,0.77,,,,,,,,,,,,,,
T3,body,10,anterior,0.732,0.712,0.705,0.74,,,,,,,,,,,,,,
T4,body,11,anterior,0.705,0.682,0.675,0.712,,,,,,,,,,,,,,
T5,body,12,anterior,0.675,0.65,0.645,0.682,,,,,,,,,,,,,,
T6,body,13,anterior,0.645,0.62,0.613,0.65,,,,,,,,,,,,,,
T7,body,14,anterior,0.613,0.591,0.584,0.62,,,,,,,,,,,,,,
T8,body,15,anterior,0.584,0.56,0.555,0.591,,,,,,,,,,,,,,
T9,body,16,anterior,0.555,0.53,0.525,0.56,,,,,,,,,,,,,,
T10,body,17,anterior,0.525,0.495,0.49,0.53,,,,,,,,,,,,,,
T11,body,18,anterior,0.49,0.457,0.45,0.495,,,,,,,,,,,,,,
T12,body,19,anterior,0.45,0.415,0.406,0.457,,,,,,,,,,,,,,
